x p lik w1 w3
-2.400000 0.000012 0.000746 0.000000 0.000000
-2.390000 0.000014 0.000769 0.000000 0.000000
-2.380000 0.000017 0.000792 0.000000 0.000000
-2.370000 0.000020 0.000816 0.000000 0.000000
-2.360000 0.000023 0.000841 0.000000 0.000000
-2.350000 0.000027 0.000867 0.000000 0.000000
-2.340000 0.000031 0.000893 0.000000 0.000000
-2.330000 0.000036 0.000920 0.000000 0.000000
-2.320000 0.000042 0.000948 0.000000 0.000000
-2.310000 0.000048 0.000977 0.000000 0.000000
-2.300000 0.000056 0.001007 0.000000 0.000000
-2.290000 0.000064 0.001037 0.000000 0.000000
-2.280000 0.000074 0.001069 0.000000 0.000000
-2.270000 0.000085 0.001101 0.000000 0.000000
-2.260000 0.000098 0.001135 0.000000 0.000000
-2.250000 0.000113 0.001170 0.000000 0.000000
-2.240000 0.000130 0.001205 0.000000 0.000000
-2.230000 0.000149 0.001242 0.000000 0.000000
-2.220000 0.000170 0.001280 0.000000 0.000000
-2.210000 0.000195 0.001318 0.000001 0.000000
-2.200000 0.000223 0.001359 0.000001 0.000000
-2.190000 0.000255 0.001400 0.000001 0.000000
-2.180000 0.000291 0.001442 0.000001 0.000000
-2.170000 0.000331 0.001486 0.000001 0.000000
-2.160000 0.000377 0.001531 0.000001 0.000000
-2.150000 0.000428 0.001578 0.000001 0.000000
-2.140000 0.000487 0.001626 0.000002 0.000000
-2.130000 0.000552 0.001675 0.000002 0.000000
-2.120000 0.000625 0.001726 0.000002 0.000000
-2.110000 0.000708 0.001779 0.000003 0.000000
-2.100000 0.000800 0.001833 0.000003 0.000000
-2.090000 0.000904 0.001889 0.000003 0.000000
-2.080000 0.001020 0.001946 0.000004 0.000000
-2.070000 0.001149 0.002005 0.000005 0.000000
-2.060000 0.001294 0.002066 0.000005 0.000000
-2.050000 0.001454 0.002129 0.000006 0.000000
-2.040000 0.001634 0.002194 0.000007 0.000000
-2.030000 0.001833 0.002260 0.000008 0.000000
-2.020000 0.002054 0.002329 0.000010 0.000000
-2.010000 0.002299 0.002400 0.000011 0.000000
-2.000000 0.002570 0.002473 0.000013 0.000000
-1.990000 0.002871 0.002548 0.000015 0.000000
-1.980000 0.003203 0.002625 0.000017 0.000000
-1.970000 0.003569 0.002705 0.000019 0.000000
-1.960000 0.003973 0.002787 0.000022 0.000000
-1.950000 0.004418 0.002872 0.000025 0.000000
-1.940000 0.004907 0.002959 0.000029 0.000000
-1.930000 0.005445 0.003049 0.000033 0.000000
-1.920000 0.006034 0.003141 0.000038 0.000000
-1.910000 0.006680 0.003237 0.000043 0.000000
-1.900000 0.007386 0.003335 0.000049 0.000000
-1.890000 0.008159 0.003436 0.000056 0.000000
-1.880000 0.009002 0.003540 0.000064 0.000000
-1.870000 0.009921 0.003648 0.000072 0.000000
-1.860000 0.010922 0.003758 0.000082 0.000000
-1.850000 0.012010 0.003872 0.000093 0.000000
