xt eps
-2.600000 -3.572245
-2.580000 -3.540019
-2.560000 -3.507801
-2.540000 -3.475593
-2.520000 -3.443395
-2.500000 -3.411207
-2.480000 -3.379030
-2.460000 -3.346864
-2.440000 -3.314709
-2.420000 -3.282567
-2.400000 -3.250438
-2.380000 -3.218321
-2.360000 -3.186219
-2.340000 -3.154131
-2.320000 -3.122057
-2.300000 -3.090000
-2.280000 -3.057959
-2.260000 -3.025935
-2.240000 -2.993928
-2.220000 -2.961941
-2.200000 -2.929972
-2.180000 -2.898024
-2.160000 -2.866097
-2.140000 -2.834191
-2.120000 -2.802309
-2.100000 -2.770450
-2.080000 -2.738616
-2.060000 -2.706808
-2.040000 -2.675026
-2.020000 -2.643273
-2.000000 -2.611550
-1.980000 -2.579856
-1.960000 -2.548195
-1.940000 -2.516566
-1.920000 -2.484972
-1.900000 -2.453414
-1.880000 -2.421893
-1.860000 -2.390411
-1.840000 -2.358969
-1.820000 -2.327570
-1.800000 -2.296214
-1.780000 -2.264905
-1.760000 -2.233642
-1.740000 -2.202429
-1.720000 -2.171268
-1.700000 -2.140160
-1.680000 -2.109107
-1.660000 -2.078112
-1.640000 -2.047178
-1.620000 -2.016305
-1.600000 -1.985498
-1.580000 -1.954758
-1.560000 -1.924088
-1.540000 -1.893490
-1.520000 -1.862968
-1.500000 -1.832524
-1.480000 -1.802161
-1.460000 -1.771882
-1.440000 -1.741691
-1.420000 -1.711590
-1.400000 -1.681582
-1.380000 -1.651672
-1.360000 -1.621862
-1.340000 -1.592157
-1.320000 -1.562558
-1.300000 -1.533072
-1.280000 -1.503700
-1.260000 -1.474447
-1.240000 -1.445318
-1.220000 -1.416315
-1.200000 -1.387443
-1.180000 -1.358706
-1.160000 -1.330108
-1.140000 -1.301654
-1.120000 -1.273348
-1.100000 -1.245193
-1.080000 -1.217195
-1.060000 -1.189358
-1.040000 -1.161686
-1.020000 -1.134183
-1.000000 -1.106854
-0.980000 -1.079704
-0.960000 -1.052735
-0.940000 -1.025954
-0.920000 -0.999363
-0.900000 -0.972968
-0.880000 -0.946771
-0.860000 -0.920778
-0.840000 -0.894991
-0.820000 -0.869414
-0.800000 -0.844050
-0.780000 -0.818904
-0.760000 -0.793977
-0.740000 -0.769273
-0.720000 -0.744795
-0.700000 -0.720543
-0.680000 -0.696521
-0.660000 -0.672730
-0.640000 -0.649170
-0.620000 -0.625844
-0.600000 -0.602751
-0.580000 -0.579891
-0.560000 -0.557264
-0.540000 -0.534869
-0.520000 -0.512705
-0.500000 -0.490769
-0.480000 -0.469060
-0.460000 -0.447575
-0.440000 -0.426309
-0.420000 -0.405259
-0.400000 -0.384420
-0.380000 -0.363788
-0.360000 -0.343355
-0.340000 -0.323116
-0.320000 -0.303065
-0.300000 -0.283192
-0.280000 -0.263491
-0.260000 -0.243953
-0.240000 -0.224569
-0.220000 -0.205328
-0.200000 -0.186221
-0.180000 -0.167238
-0.160000 -0.148367
-0.140000 -0.129596
-0.120000 -0.110914
-0.100000 -0.092310
-0.080000 -0.073770
-0.060000 -0.055282
-0.040000 -0.036833
-0.020000 -0.018410
0.000000 0.000000
0.020000 0.018410
0.040000 0.036833
0.060000 0.055282
0.080000 0.073770
0.100000 0.092310
0.120000 0.110914
0.140000 0.129596
0.160000 0.148367
0.180000 0.167238
0.200000 0.186221
0.220000 0.205328
0.240000 0.224569
0.260000 0.243953
0.280000 0.263491
0.300000 0.283192
0.320000 0.303065
0.340000 0.323116
0.360000 0.343355
0.380000 0.363788
0.400000 0.384420
0.420000 0.405259
0.440000 0.426309
0.460000 0.447575
0.480000 0.469060
0.500000 0.490769
0.520000 0.512705
0.540000 0.534869
0.560000 0.557264
0.580000 0.579891
0.600000 0.602751
0.620000 0.625844
0.640000 0.649170
0.660000 0.672730
0.680000 0.696521
0.700000 0.720543
0.720000 0.744795
0.740000 0.769273
0.760000 0.793977
0.780000 0.818904
0.800000 0.844050
0.820000 0.869414
0.840000 0.894991
0.860000 0.920778
0.880000 0.946771
0.900000 0.972968
0.920000 0.999363
0.940000 1.025954
0.960000 1.052735
0.980000 1.079704
1.000000 1.106854
1.020000 1.134183
1.040000 1.161686
1.060000 1.189358
1.080000 1.217195
1.100000 1.245193
1.120000 1.273348
1.140000 1.301654
1.160000 1.330108
1.180000 1.358706
1.200000 1.387443
1.220000 1.416315
1.240000 1.445318
1.260000 1.474447
1.280000 1.503700
1.300000 1.533072
1.320000 1.562558
1.340000 1.592157
1.360000 1.621862
1.380000 1.651672
1.400000 1.681582
1.420000 1.711590
1.440000 1.741691
1.460000 1.771882
1.480000 1.802161
1.500000 1.832524
1.520000 1.862968
1.540000 1.893490
1.560000 1.924088
1.580000 1.954758
1.600000 1.985498
1.620000 2.016305
1.640000 2.047178
1.660000 2.078112
1.680000 2.109107
1.700000 2.140160
1.720000 2.171268
1.740000 2.202429
1.760000 2.233642
1.780000 2.264905
1.800000 2.296214
1.820000 2.327570
1.840000 2.358969
1.860000 2.390411
1.880000 2.421893
1.900000 2.453414
1.920000 2.484972
1.940000 2.516566
1.960000 2.548195
1.980000 2.579856
2.000000 2.611550
2.020000 2.643273
2.040000 2.675026
2.060000 2.706808
2.080000 2.738616
2.100000 2.770450
2.120000 2.802309
2.140000 2.834191
2.160000 2.866097
2.180000 2.898024
2.200000 2.929972
2.220000 2.961941
2.240000 2.993928
2.260000 3.025935
2.280000 3.057959
2.300000 3.090000
2.320000 3.122057
2.340000 3.154131
2.360000 3.186219
2.380000 3.218321
2.400000 3.250438
2.420000 3.282567
2.440000 3.314709
2.460000 3.346864
2.480000 3.379030
2.500000 3.411207
2.520000 3.443395
2.540000 3.475593
2.560000 3.507801
2.580000 3.540019
2.600000 3.572245
