xt eps
0.290724 -0.128578
0.399727 1.369874
-0.879418 -0.700573
0.862946 0.912948
-1.110296 -0.929044
1.132847 1.084355
0.062328 -0.372140
-0.654772 -0.332912
0.718974 0.364619
0.413862 -0.165371
0.090735 0.533410
0.627342 0.183559
0.271865 1.280941
-0.781128 -0.732985
-0.311417 -0.115838
-0.653479 -1.468805
0.784747 0.656341
0.573061 0.363416
1.179903 1.114470
0.071713 -0.541538
-0.381156 -1.052070
0.110639 -0.603927
0.208473 -0.245951
0.638414 0.389245
-0.713024 -0.495775
0.016863 0.782594
-0.340772 0.025949
-0.524050 -0.186216
0.260816 0.908251
-0.584633 -0.204515
-0.069448 0.321572
-0.145347 -0.969162
-0.146031 0.264570
-0.574549 -0.215972
0.152947 0.714510
-0.824078 -1.004365
0.643608 0.334803
0.820199 0.729951
0.667858 1.416743
0.928427 2.163444
0.509077 0.107530
0.897221 1.940705
-0.734750 -0.491107
-0.754286 -0.747035
-0.074409 -1.242136
0.119655 0.928648
1.098640 1.175124
-0.552952 -1.628256
-0.228150 0.029276
0.073498 -0.364977
-0.588183 -0.059788
-0.971670 -0.754808
-1.402029 -1.679016
0.519069 0.233517
0.979041 1.153301
-0.380156 -1.280597
0.316657 -0.126727
0.613656 0.480397
-0.305368 -0.019585
-0.238276 0.069514
0.234666 -0.534492
-0.229045 -1.026661
1.423488 1.646940
0.251983 1.031637
0.642287 0.531632
0.126796 -0.369454
-0.506925 -0.261565
-0.622872 -1.976891
-1.402275 -1.811659
0.064124 -0.619330
1.798437 1.983487
0.441032 -0.099659
-0.703385 -0.375515
0.696757 0.635893
-1.600211 -1.699473
-0.268492 0.340211
-0.514546 -0.286336
0.204229 1.160986
-1.025246 -1.233340
-0.134190 -1.007801
0.680499 0.498155
0.960158 0.766953
-0.482776 -0.088040
-0.714635 -0.545968
0.710730 0.333432
0.563692 0.197283
0.102491 -0.417979
0.681636 1.806814
0.108766 -0.507039
0.988654 1.080108
0.530150 -0.150060
-0.244773 -1.084430
0.030615 -0.265651
-0.832327 -0.669574
-0.815044 -0.835314
-0.158680 0.534838
1.019841 0.926508
-0.198577 0.343983
0.241858 -0.549853
0.102243 -0.159784
0.541753 0.064744
0.286580 0.056232
0.265603 -0.106178
0.723936 0.465509
1.020375 1.059293
0.203089 0.944545
-0.873781 -0.646958
1.066018 1.127342
0.526453 0.215568
0.900525 0.627227
0.952720 0.700859
-0.311748 0.184604
-0.180317 0.117761
0.490749 0.270398
0.036983 0.867608
0.555527 0.189657
0.150161 0.874610
-0.794387 -0.585106
0.962674 1.182838
-0.274109 -1.369746
0.434825 -0.015819
0.722047 0.190800
-0.621567 -0.574076
1.444565 1.849023
-0.173886 -0.860393
0.772158 0.737630
-0.556811 -0.008561
-0.336049 0.194593
0.387840 0.041654
0.725988 0.337819
1.633680 1.868245
2.086028 2.833071
0.041466 0.816767
0.495498 0.175635
0.857113 0.812198
0.725824 0.432954
0.079463 0.375577
-0.097949 -0.802071
0.093553 -0.457173
-0.095536 0.283890
0.929209 0.738185
-0.544935 -0.074893
-0.528629 -0.332471
-0.041504 0.626584
0.569822 0.383276
0.676697 0.449005
-1.955206 -2.464406
-1.594077 -1.666920
0.068021 0.822374
-0.076586 0.724222
1.625845 2.201041
-0.390807 0.205684
0.964004 0.790951
0.586149 1.675864
1.059254 0.976308
-0.163021 -0.956544
-0.016438 -0.682080
-0.566479 -1.554960
0.248071 -0.574922
0.012147 -0.554951
-0.251543 0.417544
-0.424070 -0.071214
-0.529124 -0.345303
0.625318 0.284664
1.146755 2.605521
-1.251732 -1.067147
1.286782 1.408631
-0.943151 -1.274634
0.047815 -0.355722
0.988732 1.000601
-1.071282 -1.208321
0.415704 0.068641
0.073999 0.506600
0.456626 0.062202
0.560647 -0.003848
-0.633650 -0.266153
