t x
0.000000 -1.000000
1.000000 -1.464193
nan nan
0.000000 -1.000000
1.000000 -0.788816
nan nan
0.000000 -1.000000
1.000000 -0.364172
nan nan
0.000000 -1.000000
1.000000 0.002184
nan nan
0.000000 -1.000000
1.000000 0.366082
nan nan
0.000000 -1.000000
1.000000 0.794743
nan nan
0.000000 -1.000000
1.000000 1.466215
nan nan
0.000000 1.000000
1.000000 -1.464193
nan nan
0.000000 1.000000
1.000000 -0.788816
nan nan
0.000000 1.000000
1.000000 -0.364172
nan nan
0.000000 1.000000
1.000000 0.002184
nan nan
0.000000 1.000000
1.000000 0.366082
nan nan
0.000000 1.000000
1.000000 0.794743
nan nan
0.000000 1.000000
1.000000 1.466215
