t x
0.998000 -1.726088
0.988040 -1.708984
0.978080 -1.692057
0.968120 -1.675313
0.958160 -1.658759
0.948200 -1.642399
0.938240 -1.626239
0.928280 -1.610286
0.918320 -1.594545
0.908360 -1.579023
0.898400 -1.563726
0.888440 -1.548662
0.878480 -1.533836
0.868520 -1.519256
0.858560 -1.504929
0.848600 -1.490862
0.838640 -1.477061
0.828680 -1.463534
0.818720 -1.450289
0.808760 -1.437332
0.798800 -1.424671
0.788840 -1.412312
0.778880 -1.400263
0.768920 -1.388529
0.758960 -1.377117
0.749000 -1.366033
0.739040 -1.355282
0.729080 -1.344869
0.719120 -1.334796
0.709160 -1.325069
0.699200 -1.315688
0.689240 -1.306654
0.679280 -1.297968
0.669320 -1.289627
0.659360 -1.281628
0.649400 -1.273967
0.639440 -1.266637
0.629480 -1.259630
0.619520 -1.252936
0.609560 -1.246543
0.599600 -1.240438
0.589640 -1.234606
0.579680 -1.229030
0.569720 -1.223694
0.559760 -1.218578
0.549800 -1.213664
0.539840 -1.208931
0.529880 -1.204361
0.519920 -1.199933
0.509960 -1.195630
0.500000 -1.191432
0.490040 -1.187325
0.480080 -1.183291
0.470120 -1.179318
0.460160 -1.175394
0.450200 -1.171507
0.440240 -1.167649
0.430280 -1.163813
0.420320 -1.159992
0.410360 -1.156182
0.400400 -1.152380
0.390440 -1.148582
0.380480 -1.144788
0.370520 -1.140996
0.360560 -1.137205
0.350600 -1.133414
0.340640 -1.129624
0.330680 -1.125834
0.320720 -1.122043
0.310760 -1.118253
0.300800 -1.114463
0.290840 -1.110673
0.280880 -1.106883
0.270920 -1.103093
0.260960 -1.099303
0.251000 -1.095513
0.241040 -1.091723
0.231080 -1.087933
0.221120 -1.084143
0.211160 -1.080353
0.201200 -1.076563
0.191240 -1.072772
0.181280 -1.068982
0.171320 -1.065192
0.161360 -1.061402
0.151400 -1.057612
0.141440 -1.053822
0.131480 -1.050032
0.121520 -1.046242
0.111560 -1.042452
0.101600 -1.038662
0.091640 -1.034872
0.081680 -1.031082
0.071720 -1.027292
0.061760 -1.023502
0.051800 -1.019711
0.041840 -1.015921
0.031880 -1.012131
0.021920 -1.008341
0.011960 -1.004551
0.002000 -1.000761
nan nan
0.998000 -1.147356
0.988040 -1.135987
0.978080 -1.124735
0.968120 -1.113606
0.958160 -1.102602
0.948200 -1.091728
0.938240 -1.080988
0.928280 -1.070386
0.918320 -1.059927
0.908360 -1.049615
0.898400 -1.039456
0.888440 -1.029454
0.878480 -1.019615
0.868520 -1.009945
0.858560 -1.000450
0.848600 -0.991135
0.838640 -0.982008
0.828680 -0.973075
0.818720 -0.964343
0.808760 -0.955820
0.798800 -0.947513
0.788840 -0.939430
0.778880 -0.931581
0.768920 -0.923973
0.758960 -0.916616
0.749000 -0.909519
0.739040 -0.902693
0.729080 -0.896146
0.719120 -0.889890
0.709160 -0.883934
0.699200 -0.878291
0.689240 -0.872969
0.679280 -0.867981
0.669320 -0.863337
0.659360 -0.859047
0.649400 -0.855122
0.639440 -0.851569
0.629480 -0.848399
0.619520 -0.845619
0.609560 -0.843234
0.599600 -0.841248
0.589640 -0.839664
0.579680 -0.838482
0.569720 -0.837699
0.559760 -0.837310
0.549800 -0.837305
0.539840 -0.837673
0.529880 -0.838398
0.519920 -0.839462
0.509960 -0.840843
0.500000 -0.842518
0.490040 -0.844460
0.480080 -0.846640
0.470120 -0.849032
0.460160 -0.851607
0.450200 -0.854335
0.440240 -0.857193
0.430280 -0.860154
0.420320 -0.863197
0.410360 -0.866304
0.400400 -0.869458
0.390440 -0.872646
0.380480 -0.875857
0.370520 -0.879085
0.360560 -0.882323
0.350600 -0.885566
0.340640 -0.888814
0.330680 -0.892063
0.320720 -0.895314
0.310760 -0.898564
0.300800 -0.901815
0.290840 -0.905066
0.280880 -0.908317
0.270920 -0.911568
0.260960 -0.914819
0.251000 -0.918071
0.241040 -0.921322
0.231080 -0.924573
0.221120 -0.927824
0.211160 -0.931075
0.201200 -0.934326
0.191240 -0.937577
0.181280 -0.940828
0.171320 -0.944079
0.161360 -0.947330
0.151400 -0.950581
0.141440 -0.953832
0.131480 -0.957083
0.121520 -0.960334
0.111560 -0.963585
0.101600 -0.966837
0.091640 -0.970088
0.081680 -0.973339
0.071720 -0.976590
0.061760 -0.979841
0.051800 -0.983092
0.041840 -0.986343
0.031880 -0.989594
0.021920 -0.992845
0.011960 -0.996096
0.002000 -0.999347
nan nan
0.998000 -0.811874
0.988040 -0.803829
0.978080 -0.795868
0.968120 -0.787992
0.958160 -0.780206
0.948200 -0.772512
0.938240 -0.764913
0.928280 -0.757411
0.918320 -0.750011
0.908360 -0.742716
0.898400 -0.735530
0.888440 -0.728456
0.878480 -0.721499
0.868520 -0.714662
0.858560 -0.707951
0.848600 -0.701371
0.838640 -0.694926
0.828680 -0.688622
0.818720 -0.682464
0.808760 -0.676459
0.798800 -0.670614
0.788840 -0.664934
0.778880 -0.659428
0.768920 -0.654103
0.758960 -0.648968
0.749000 -0.644031
0.739040 -0.639301
0.729080 -0.634789
0.719120 -0.630504
0.709160 -0.626459
0.699200 -0.622665
0.689240 -0.619135
0.679280 -0.615881
0.669320 -0.612918
0.659360 -0.610260
0.649400 -0.607923
0.639440 -0.605923
0.629480 -0.604276
0.619520 -0.602999
0.609560 -0.602110
0.599600 -0.601626
0.589640 -0.601563
0.579680 -0.601940
0.569720 -0.602770
0.559760 -0.604068
0.549800 -0.605846
0.539840 -0.608113
0.529880 -0.610875
0.519920 -0.614133
0.509960 -0.617884
0.500000 -0.622119
0.490040 -0.626824
0.480080 -0.631977
0.470120 -0.637552
0.460160 -0.643517
0.450200 -0.649835
0.440240 -0.656467
0.430280 -0.663370
0.420320 -0.670502
0.410360 -0.677823
0.400400 -0.685294
0.390440 -0.692881
0.380480 -0.700555
0.370520 -0.708291
0.360560 -0.716070
0.350600 -0.723877
0.340640 -0.731702
0.330680 -0.739536
0.320720 -0.747376
0.310760 -0.755220
0.300800 -0.763064
0.290840 -0.770909
0.280880 -0.778754
0.270920 -0.786600
0.260960 -0.794445
0.251000 -0.802290
0.241040 -0.810136
0.231080 -0.817981
0.221120 -0.825827
0.211160 -0.833672
0.201200 -0.841517
0.191240 -0.849363
0.181280 -0.857208
0.171320 -0.865053
0.161360 -0.872899
0.151400 -0.880744
0.141440 -0.888589
0.131480 -0.896435
0.121520 -0.904280
0.111560 -0.912126
0.101600 -0.919971
0.091640 -0.927816
0.081680 -0.935662
0.071720 -0.943507
0.061760 -0.951352
0.051800 -0.959198
0.041840 -0.967043
0.031880 -0.974889
0.021920 -0.982734
0.011960 -0.990579
0.002000 -0.998425
nan nan
0.998000 -0.549440
0.988040 -0.543995
0.978080 -0.538607
0.968120 -0.533277
0.958160 -0.528008
0.948200 -0.522801
0.938240 -0.517658
0.928280 -0.512582
0.918320 -0.507574
0.908360 -0.502638
0.898400 -0.497776
0.888440 -0.492990
0.878480 -0.488283
0.868520 -0.483659
0.858560 -0.479120
0.848600 -0.474670
0.838640 -0.470314
0.828680 -0.466054
0.818720 -0.461894
0.808760 -0.457841
0.798800 -0.453897
0.788840 -0.450068
0.778880 -0.446360
0.768920 -0.442779
0.758960 -0.439331
0.749000 -0.436022
0.739040 -0.432861
0.729080 -0.429854
0.719120 -0.427011
0.709160 -0.424341
0.699200 -0.421853
0.689240 -0.419559
0.679280 -0.417470
0.669320 -0.415599
0.659360 -0.413960
0.649400 -0.412567
0.639440 -0.411437
0.629480 -0.410587
0.619520 -0.410037
0.609560 -0.409805
0.599600 -0.409915
0.589640 -0.410389
0.579680 -0.411253
0.569720 -0.412533
0.559760 -0.414257
0.549800 -0.416453
0.539840 -0.419152
0.529880 -0.422383
0.519920 -0.426175
0.509960 -0.430555
0.500000 -0.435548
0.490040 -0.441173
0.480080 -0.447446
0.470120 -0.454371
0.460160 -0.461946
0.450200 -0.470155
0.440240 -0.478974
0.430280 -0.488363
0.420320 -0.498275
0.410360 -0.508650
0.400400 -0.519425
0.390440 -0.530534
0.380480 -0.541910
0.370520 -0.553494
0.360560 -0.565231
0.350600 -0.577077
0.340640 -0.588995
0.330680 -0.600960
0.320720 -0.612951
0.310760 -0.624958
0.300800 -0.636973
0.290840 -0.648991
0.280880 -0.661011
0.270920 -0.673031
0.260960 -0.685052
0.251000 -0.697072
0.241040 -0.709093
0.231080 -0.721113
0.221120 -0.733134
0.211160 -0.745155
0.201200 -0.757175
0.191240 -0.769196
0.181280 -0.781216
0.171320 -0.793237
0.161360 -0.805257
0.151400 -0.817278
0.141440 -0.829298
0.131480 -0.841319
0.121520 -0.853340
0.111560 -0.865360
0.101600 -0.877381
0.091640 -0.889401
0.081680 -0.901422
0.071720 -0.913442
0.061760 -0.925463
0.051800 -0.937483
0.041840 -0.949504
0.031880 -0.961525
0.021920 -0.973545
0.011960 -0.985566
0.002000 -0.997586
nan nan
0.998000 -0.318767
0.988040 -0.315608
0.978080 -0.312482
0.968120 -0.309390
0.958160 -0.306333
0.948200 -0.303312
0.938240 -0.300328
0.928280 -0.297383
0.918320 -0.294478
0.908360 -0.291615
0.898400 -0.288794
0.888440 -0.286017
0.878480 -0.283287
0.868520 -0.280605
0.858560 -0.277973
0.848600 -0.275393
0.838640 -0.272867
0.828680 -0.270397
0.818720 -0.267987
0.808760 -0.265638
0.798800 -0.263354
0.788840 -0.261138
0.778880 -0.258993
0.768920 -0.256923
0.758960 -0.254931
0.749000 -0.253023
0.739040 -0.251201
0.729080 -0.249473
0.719120 -0.247843
0.709160 -0.246316
0.699200 -0.244900
0.689240 -0.243602
0.679280 -0.242430
0.669320 -0.241391
0.659360 -0.240496
0.649400 -0.239756
0.639440 -0.239180
0.629480 -0.238784
0.619520 -0.238580
0.609560 -0.238584
0.599600 -0.238815
0.589640 -0.239291
0.579680 -0.240034
0.569720 -0.241069
0.559760 -0.242423
0.549800 -0.244126
0.539840 -0.246212
0.529880 -0.248718
0.519920 -0.251685
0.509960 -0.255160
0.500000 -0.259192
0.490040 -0.263834
0.480080 -0.269144
0.470120 -0.275181
0.460160 -0.282003
0.450200 -0.289669
0.440240 -0.298228
0.430280 -0.307721
0.420320 -0.318170
0.410360 -0.329578
0.400400 -0.341919
0.390440 -0.355139
0.380480 -0.369156
0.370520 -0.383866
0.360560 -0.399149
0.350600 -0.414885
0.340640 -0.430957
0.330680 -0.447265
0.320720 -0.463727
0.310760 -0.480285
0.300800 -0.496896
0.290840 -0.513534
0.280880 -0.530186
0.270920 -0.546843
0.260960 -0.563502
0.251000 -0.580161
0.241040 -0.596821
0.231080 -0.613481
0.221120 -0.630140
0.211160 -0.646800
0.201200 -0.663460
0.191240 -0.680120
0.181280 -0.696779
0.171320 -0.713439
0.161360 -0.730099
0.151400 -0.746759
0.141440 -0.763418
0.131480 -0.780078
0.121520 -0.796738
0.111560 -0.813398
0.101600 -0.830057
0.091640 -0.846717
0.081680 -0.863377
0.071720 -0.880037
0.061760 -0.896696
0.051800 -0.913356
0.041840 -0.930016
0.031880 -0.946675
0.021920 -0.963335
0.011960 -0.979995
0.002000 -0.996655
nan nan
0.998000 -0.103771
0.988040 -0.102743
0.978080 -0.101725
0.968120 -0.100719
0.958160 -0.099724
0.948200 -0.098740
0.938240 -0.097769
0.928280 -0.096810
0.918320 -0.095864
0.908360 -0.094932
0.898400 -0.094014
0.888440 -0.093110
0.878480 -0.092222
0.868520 -0.091349
0.858560 -0.090492
0.848600 -0.089652
0.838640 -0.088830
0.828680 -0.088026
0.818720 -0.087242
0.808760 -0.086478
0.798800 -0.085735
0.788840 -0.085014
0.778880 -0.084317
0.768920 -0.083644
0.758960 -0.082997
0.749000 -0.082377
0.739040 -0.081787
0.729080 -0.081226
0.719120 -0.080698
0.709160 -0.080205
0.699200 -0.079748
0.689240 -0.079331
0.679280 -0.078955
0.669320 -0.078624
0.659360 -0.078341
0.649400 -0.078111
0.639440 -0.077936
0.629480 -0.077822
0.619520 -0.077774
0.609560 -0.077798
0.599600 -0.077899
0.589640 -0.078087
0.579680 -0.078369
0.569720 -0.078755
0.559760 -0.079257
0.549800 -0.079886
0.539840 -0.080658
0.529880 -0.081590
0.519920 -0.082702
0.509960 -0.084017
0.500000 -0.085563
0.490040 -0.087372
0.480080 -0.089482
0.470120 -0.091940
0.460160 -0.094798
0.450200 -0.098123
0.440240 -0.101992
0.430280 -0.106498
0.420320 -0.111753
0.410360 -0.117888
0.400400 -0.125057
0.390440 -0.133437
0.380480 -0.143218
0.370520 -0.154597
0.360560 -0.167752
0.350600 -0.182806
0.340640 -0.199789
0.330680 -0.218599
0.320720 -0.239003
0.310760 -0.260673
0.300800 -0.283246
0.290840 -0.306399
0.280880 -0.329884
0.270920 -0.353537
0.260960 -0.377264
