t x
0.000000 -1.000000
0.005000 -0.944909
0.010000 -0.909717
0.015000 -0.875956
0.020000 -0.842584
0.025000 -0.809308
0.030000 -0.776014
0.035000 -0.742656
0.040000 -0.709213
0.045000 -0.675678
0.050000 -0.642052
0.055000 -0.608339
0.060000 -0.574547
0.065000 -0.540686
0.070000 -0.506764
0.075000 -0.472794
0.080000 -0.438786
0.085000 -0.404752
0.090000 -0.370705
0.095000 -0.336655
0.100000 -0.302617
0.105000 -0.268601
0.110000 -0.234620
0.115000 -0.200687
0.120000 -0.166813
0.125000 -0.133011
0.130000 -0.099293
0.135000 -0.065671
0.140000 -0.032155
0.145000 0.001241
0.150000 0.034506
0.155000 0.067630
0.160000 0.100601
0.165000 0.133407
0.170000 0.166040
0.175000 0.198487
0.180000 0.230740
0.185000 0.262787
0.190000 0.294619
0.195000 0.326226
0.200000 0.357601
0.205000 0.388732
0.210000 0.419612
0.215000 0.450233
0.220000 0.480585
0.225000 0.510663
0.230000 0.540457
0.235000 0.569960
0.240000 0.599167
0.245000 0.628069
0.250000 0.656662
0.255000 0.684938
0.260000 0.712893
0.265000 0.740521
0.270000 0.767816
0.275000 0.794774
0.280000 0.821392
0.285000 0.847663
0.290000 0.873586
0.295000 0.899156
0.300000 0.924370
0.305000 0.949225
0.310000 0.973719
0.315000 0.997850
0.320000 1.021615
0.325000 1.045013
0.330000 1.068043
0.335000 1.090703
0.340000 1.112993
0.345000 1.134911
0.350000 1.156459
0.355000 1.177635
0.360000 1.198440
0.365000 1.218875
0.370000 1.238941
0.375000 1.258637
0.380000 1.277966
0.385000 1.296929
0.390000 1.315527
0.395000 1.333763
0.400000 1.351639
0.405000 1.369157
0.410000 1.386318
0.415000 1.403127
0.420000 1.419585
0.425000 1.435696
0.430000 1.451463
0.435000 1.466889
0.440000 1.481978
0.445000 1.496733
0.450000 1.511157
0.455000 1.525255
0.460000 1.539031
0.465000 1.552488
0.470000 1.565631
0.475000 1.578463
0.480000 1.590990
0.485000 1.603215
0.490000 1.615143
0.495000 1.626778
0.500000 1.638126
0.505000 1.649189
0.510000 1.659974
0.515000 1.670485
0.520000 1.680726
0.525000 1.690702
0.530000 1.700418
0.535000 1.709878
0.540000 1.719088
0.545000 1.728052
0.550000 1.736774
0.555000 1.745261
0.560000 1.753515
0.565000 1.761542
0.570000 1.769347
0.575000 1.776934
0.580000 1.784308
0.585000 1.791473
0.590000 1.798434
0.595000 1.805196
0.600000 1.811762
0.605000 1.818138
0.610000 1.824328
0.615000 1.830335
0.620000 1.836165
0.625000 1.841821
0.630000 1.847308
0.635000 1.852629
0.640000 1.857789
0.645000 1.862792
0.650000 1.867642
0.655000 1.872342
0.660000 1.876896
0.665000 1.881309
0.670000 1.885583
0.675000 1.889722
0.680000 1.893730
0.685000 1.897611
0.690000 1.901367
0.695000 1.905002
0.700000 1.908519
0.705000 1.911922
0.710000 1.915214
0.715000 1.918397
0.720000 1.921475
0.725000 1.924450
0.730000 1.927327
0.735000 1.930106
0.740000 1.932792
