t x
0.000000 1.000000
0.010000 0.999003
0.020000 0.997014
0.030000 0.994040
0.040000 0.990089
0.050000 0.985174
0.060000 0.979307
0.070000 0.972507
0.080000 0.964795
0.090000 0.956191
0.100000 0.946722
0.110000 0.936414
0.120000 0.925297
0.130000 0.913404
0.140000 0.900766
0.150000 0.887419
0.160000 0.873401
0.170000 0.858750
0.180000 0.843505
0.190000 0.827706
0.200000 0.811395
0.210000 0.794615
0.220000 0.777408
0.230000 0.759817
0.240000 0.741886
0.250000 0.723657
0.260000 0.705174
0.270000 0.686480
0.280000 0.667617
0.290000 0.648627
0.300000 0.629550
0.310000 0.610426
0.320000 0.591295
0.330000 0.572194
0.340000 0.553159
0.350000 0.534225
0.360000 0.515427
0.370000 0.496795
0.380000 0.478361
0.390000 0.460152
0.400000 0.442197
0.410000 0.424519
0.420000 0.407143
0.430000 0.390090
0.440000 0.373379
0.450000 0.357029
0.460000 0.341056
0.470000 0.325472
0.480000 0.310292
0.490000 0.295526
0.500000 0.281183
0.510000 0.267270
0.520000 0.253792
0.530000 0.240755
0.540000 0.228160
0.550000 0.216009
0.560000 0.204301
0.570000 0.193036
0.580000 0.182211
0.590000 0.171822
0.600000 0.161864
0.610000 0.152331
0.620000 0.143218
0.630000 0.134515
0.640000 0.126216
0.650000 0.118311
0.660000 0.110791
0.670000 0.103646
0.680000 0.096865
0.690000 0.090437
0.700000 0.084353
0.710000 0.078599
0.720000 0.073165
0.730000 0.068039
0.740000 0.063209
0.750000 0.058664
0.760000 0.054391
0.770000 0.050379
0.780000 0.046617
0.790000 0.043093
0.800000 0.039796
0.810000 0.036714
0.820000 0.033837
0.830000 0.031155
0.840000 0.028657
0.850000 0.026333
0.860000 0.024173
0.870000 0.022169
0.880000 0.020310
0.890000 0.018589
0.900000 0.016996
0.910000 0.015525
0.920000 0.014167
0.930000 0.012915
0.940000 0.011762
0.950000 0.010701
0.960000 0.009726
0.970000 0.008831
0.980000 0.008011
0.990000 0.007259
1.000000 0.006572
nan nan
0.000000 -1.000000
0.010000 -0.999003
0.020000 -0.997014
0.030000 -0.994040
0.040000 -0.990089
0.050000 -0.985174
0.060000 -0.979307
0.070000 -0.972507
0.080000 -0.964795
0.090000 -0.956191
0.100000 -0.946722
0.110000 -0.936414
0.120000 -0.925297
0.130000 -0.913404
0.140000 -0.900766
0.150000 -0.887419
0.160000 -0.873401
0.170000 -0.858750
0.180000 -0.843505
0.190000 -0.827706
0.200000 -0.811395
0.210000 -0.794615
0.220000 -0.777408
0.230000 -0.759817
0.240000 -0.741886
0.250000 -0.723657
0.260000 -0.705174
0.270000 -0.686480
0.280000 -0.667617
0.290000 -0.648627
0.300000 -0.629550
0.310000 -0.610426
0.320000 -0.591295
0.330000 -0.572194
0.340000 -0.553159
0.350000 -0.534225
0.360000 -0.515427
0.370000 -0.496795
0.380000 -0.478361
0.390000 -0.460152
0.400000 -0.442197
0.410000 -0.424519
0.420000 -0.407143
0.430000 -0.390090
0.440000 -0.373379
0.450000 -0.357029
0.460000 -0.341056
0.470000 -0.325472
0.480000 -0.310292
0.490000 -0.295526
0.500000 -0.281183
0.510000 -0.267270
0.520000 -0.253792
0.530000 -0.240755
0.540000 -0.228160
0.550000 -0.216009
0.560000 -0.204301
0.570000 -0.193036
0.580000 -0.182211
0.590000 -0.171822
0.600000 -0.161864
0.610000 -0.152331
0.620000 -0.143218
0.630000 -0.134515
0.640000 -0.126216
0.650000 -0.118311
0.660000 -0.110791
0.670000 -0.103646
0.680000 -0.096865
0.690000 -0.090437
0.700000 -0.084353
0.710000 -0.078599
0.720000 -0.073165
0.730000 -0.068039
0.740000 -0.063209
0.750000 -0.058664
0.760000 -0.054391
0.770000 -0.050379
0.780000 -0.046617
0.790000 -0.043093
0.800000 -0.039796
0.810000 -0.036714
0.820000 -0.033837
0.830000 -0.031155
0.840000 -0.028657
0.850000 -0.026333
0.860000 -0.024173
0.870000 -0.022169
0.880000 -0.020310
0.890000 -0.018589
0.900000 -0.016996
0.910000 -0.015525
0.920000 -0.014167
0.930000 -0.012915
0.940000 -0.011762
0.950000 -0.010701
0.960000 -0.009726
0.970000 -0.008831
0.980000 -0.008011
0.990000 -0.007259
1.000000 -0.006572
