t x
0.000000 1.035877
0.002500 1.039148
0.005000 1.033834
0.007500 1.033368
0.010000 1.082010
0.012500 1.083784
0.015000 1.109067
0.017500 1.099239
0.020000 1.091518
0.022500 1.093095
0.025000 1.061453
0.027500 1.077267
0.030000 1.029391
0.032500 1.035316
0.035000 1.014039
0.037500 1.004932
0.040000 1.034271
0.042500 1.074422
0.045000 1.079524
0.047500 1.100210
0.050000 1.036727
0.052500 0.960779
0.055000 1.003905
0.057500 0.999675
0.060000 0.978203
0.062500 0.995969
0.065000 0.934311
0.067500 0.830710
0.070000 0.778627
0.072500 0.824172
0.075000 0.735833
0.077500 0.727091
0.080000 0.756248
0.082500 0.746733
0.085000 0.724724
0.087500 0.779085
0.090000 0.715899
0.092500 0.719047
0.095000 0.659275
0.097500 0.681814
0.100000 0.685847
0.102500 0.632062
0.105000 0.489851
0.107500 0.378958
0.110000 0.298820
0.112500 0.236049
0.115000 0.147367
0.117500 0.241718
0.120000 0.204127
0.122500 0.174743
0.125000 0.076512
0.127500 0.167466
0.130000 0.125078
0.132500 0.178739
0.135000 0.151375
0.137500 0.133662
0.140000 0.100840
0.142500 -0.037529
0.145000 -0.060436
0.147500 -0.111197
0.150000 -0.022577
0.152500 0.014681
0.155000 0.091100
0.157500 0.154189
0.160000 0.092121
0.162500 0.104382
0.165000 0.269641
0.167500 0.313911
0.170000 0.382925
0.172500 0.510265
0.175000 0.381047
0.177500 0.481368
0.180000 0.686078
0.182500 0.813079
0.185000 0.750541
0.187500 0.700931
0.190000 0.853507
0.192500 0.897215
0.195000 0.937967
0.197500 0.899124
0.200000 0.785963
0.202500 0.784235
0.205000 0.878260
0.207500 1.128421
0.210000 1.289096
0.212500 1.442729
0.215000 1.161342
0.217500 1.070484
0.220000 0.802634
0.222500 0.958277
0.225000 0.929039
0.227500 1.060316
0.230000 1.123764
0.232500 1.043557
0.235000 1.109671
0.237500 0.992924
0.240000 0.970421
0.242500 1.063865
0.245000 1.179620
0.247500 1.149495
0.250000 1.212925
