tt x
0.000000 -3.200000
0.000000 -3.180000
0.000000 -3.160000
0.000000 -3.140000
0.000000 -3.120000
0.000000 -3.100000
0.000000 -3.080000
0.000000 -3.060000
0.000000 -3.040000
0.000000 -3.020000
0.000000 -3.000000
0.000000 -2.980000
0.000000 -2.960000
0.000000 -2.940000
0.000000 -2.920000
0.000000 -2.900000
0.000000 -2.880000
0.000000 -2.860000
0.000000 -2.840000
0.000000 -2.820000
0.000000 -2.800000
0.000000 -2.780000
0.000000 -2.760000
0.000000 -2.740000
0.000000 -2.720000
0.000000 -2.700000
0.000000 -2.680000
0.000000 -2.660000
0.000000 -2.640000
0.000000 -2.620000
0.000000 -2.600000
0.000000 -2.580000
0.000000 -2.560000
0.000000 -2.540000
0.000000 -2.520000
0.000000 -2.500000
0.000000 -2.480000
0.000000 -2.460000
0.000000 -2.440000
0.000000 -2.420000
0.000000 -2.400000
0.000000 -2.380000
0.000000 -2.360000
0.000000 -2.340000
0.000000 -2.320000
0.000000 -2.300000
0.000000 -2.280000
0.000000 -2.260000
0.000000 -2.240000
0.000000 -2.220000
0.000000 -2.200000
0.000000 -2.180000
0.000000 -2.160000
0.000000 -2.140000
0.000000 -2.120000
0.000000 -2.100000
0.000000 -2.080000
0.000000 -2.060000
0.000000 -2.040000
0.000000 -2.020000
0.000000 -2.000000
0.000000 -1.980000
0.000000 -1.960000
0.000000 -1.940000
0.000000 -1.920000
0.000000 -1.900000
0.000000 -1.880000
0.000000 -1.860000
0.000000 -1.840000
0.000000 -1.820000
0.000000 -1.800000
0.000000 -1.780000
0.000000 -1.760000
0.000000 -1.740000
0.000000 -1.720000
0.000000 -1.700000
0.000000 -1.680000
0.000000 -1.660000
0.000000 -1.640000
0.000000 -1.620000
0.000000 -1.600000
0.000000 -1.580000
0.000000 -1.560000
0.000000 -1.540000
0.000000 -1.520000
0.000000 -1.500000
0.000001 -1.480000
0.000003 -1.460000
0.000008 -1.440000
0.000019 -1.420000
0.000044 -1.400000
0.000095 -1.380000
0.000199 -1.360000
0.000402 -1.340000
0.000777 -1.320000
0.001444 -1.300000
0.002579 -1.280000
0.004426 -1.260000
0.007298 -1.240000
0.011560 -1.220000
0.017594 -1.200000
0.025727 -1.180000
0.036145 -1.160000
0.048790 -1.140000
0.063278 -1.120000
0.078849 -1.100000
0.094399 -1.080000
0.108585 -1.060000
0.120005 -1.040000
0.127426 -1.020000
0.130000 -1.000000
0.127426 -0.980000
0.120005 -0.960000
0.108585 -0.940000
0.094399 -0.920000
0.078849 -0.900000
0.063278 -0.880000
0.048790 -0.860000
0.036145 -0.840000
0.025727 -0.820000
0.017594 -0.800000
0.011560 -0.780000
0.007298 -0.760000
0.004426 -0.740000
0.002579 -0.720000
0.001444 -0.700000
0.000777 -0.680000
0.000402 -0.660000
0.000199 -0.640000
0.000095 -0.620000
0.000044 -0.600000
0.000019 -0.580000
0.000008 -0.560000
0.000003 -0.540000
0.000001 -0.520000
0.000000 -0.500000
0.000000 -0.480000
0.000000 -0.460000
0.000000 -0.440000
0.000000 -0.420000
0.000000 -0.400000
0.000000 -0.380000
0.000000 -0.360000
0.000000 -0.340000
0.000000 -0.320000
0.000000 -0.300000
0.000000 -0.280000
0.000000 -0.260000
0.000000 -0.240000
0.000000 -0.220000
0.000000 -0.200000
0.000000 -0.180000
0.000000 -0.160000
0.000000 -0.140000
0.000000 -0.120000
0.000000 -0.100000
0.000000 -0.080000
0.000000 -0.060000
0.000000 -0.040000
0.000000 -0.020000
0.000000 0.000000
0.000000 0.020000
0.000000 0.040000
0.000000 0.060000
0.000000 0.080000
0.000000 0.100000
0.000000 0.120000
0.000000 0.140000
0.000000 0.160000
0.000000 0.180000
0.000000 0.200000
0.000000 0.220000
0.000000 0.240000
0.000000 0.260000
0.000000 0.280000
0.000000 0.300000
0.000000 0.320000
0.000000 0.340000
0.000000 0.360000
0.000000 0.380000
0.000000 0.400000
0.000000 0.420000
0.000000 0.440000
0.000000 0.460000
0.000000 0.480000
0.000000 0.500000
0.000001 0.520000
0.000003 0.540000
0.000008 0.560000
0.000019 0.580000
0.000044 0.600000
0.000095 0.620000
0.000199 0.640000
0.000402 0.660000
0.000777 0.680000
0.001444 0.700000
0.002579 0.720000
0.004426 0.740000
0.007298 0.760000
0.011560 0.780000
0.017594 0.800000
0.025727 0.820000
0.036145 0.840000
0.048790 0.860000
0.063278 0.880000
0.078849 0.900000
0.094399 0.920000
0.108585 0.940000
0.120005 0.960000
0.127426 0.980000
0.130000 1.000000
0.127426 1.020000
0.120005 1.040000
0.108585 1.060000
0.094399 1.080000
0.078849 1.100000
0.063278 1.120000
0.048790 1.140000
0.036145 1.160000
0.025727 1.180000
0.017594 1.200000
0.011560 1.220000
0.007298 1.240000
0.004426 1.260000
0.002579 1.280000
0.001444 1.300000
0.000777 1.320000
0.000402 1.340000
0.000199 1.360000
0.000095 1.380000
0.000044 1.400000
0.000019 1.420000
0.000008 1.440000
0.000003 1.460000
0.000001 1.480000
0.000000 1.500000
0.000000 1.520000
0.000000 1.540000
0.000000 1.560000
0.000000 1.580000
0.000000 1.600000
0.000000 1.620000
0.000000 1.640000
0.000000 1.660000
0.000000 1.680000
0.000000 1.700000
0.000000 1.720000
0.000000 1.740000
0.000000 1.760000
0.000000 1.780000
0.000000 1.800000
0.000000 1.820000
0.000000 1.840000
0.000000 1.860000
0.000000 1.880000
0.000000 1.900000
0.000000 1.920000
0.000000 1.940000
0.000000 1.960000
0.000000 1.980000
0.000000 2.000000
0.000000 2.020000
0.000000 2.040000
0.000000 2.060000
0.000000 2.080000
0.000000 2.100000
0.000000 2.120000
0.000000 2.140000
0.000000 2.160000
0.000000 2.180000
0.000000 2.200000
0.000000 2.220000
0.000000 2.240000
0.000000 2.260000
0.000000 2.280000
0.000000 2.300000
0.000000 2.320000
0.000000 2.340000
0.000000 2.360000
0.000000 2.380000
0.000000 2.400000
0.000000 2.420000
0.000000 2.440000
0.000000 2.460000
0.000000 2.480000
0.000000 2.500000
0.000000 2.520000
0.000000 2.540000
0.000000 2.560000
0.000000 2.580000
0.000000 2.600000
0.000000 2.620000
0.000000 2.640000
0.000000 2.660000
0.000000 2.680000
0.000000 2.700000
0.000000 2.720000
0.000000 2.740000
0.000000 2.760000
0.000000 2.780000
0.000000 2.800000
0.000000 2.820000
0.000000 2.840000
0.000000 2.860000
0.000000 2.880000
0.000000 2.900000
0.000000 2.920000
0.000000 2.940000
0.000000 2.960000
0.000000 2.980000
0.000000 3.000000
0.000000 3.020000
0.000000 3.040000
0.000000 3.060000
0.000000 3.080000
0.000000 3.100000
0.000000 3.120000
0.000000 3.140000
0.000000 3.160000
0.000000 3.180000
0.000000 3.200000
