t qv
0.000000 0.000000
0.003906 0.000820
0.007812 0.013793
0.011719 0.017484
0.015625 0.024519
0.019531 0.026104
0.023438 0.027158
0.027344 0.028500
0.031250 0.036215
0.035156 0.036938
0.039062 0.037109
0.042969 0.037639
0.046875 0.045841
0.050781 0.045931
0.054688 0.046929
0.058594 0.046932
0.062500 0.046989
0.066406 0.047123
0.070312 0.048480
0.074219 0.065384
0.078125 0.065575
0.082031 0.069420
0.085938 0.069617
0.089844 0.078310
0.093750 0.083336
0.097656 0.087528
0.101562 0.095075
0.105469 0.095715
0.109375 0.099673
0.113281 0.101360
0.117188 0.101366
0.121094 0.101403
0.125000 0.102164
0.128906 0.102275
0.132812 0.118730
0.136719 0.121785
0.140625 0.156759
0.144531 0.159702
0.148438 0.163818
0.152344 0.163916
0.156250 0.181645
0.160156 0.194017
0.164062 0.195282
0.167969 0.204276
0.171875 0.204505
0.175781 0.205109
0.179688 0.213665
0.183594 0.224072
0.187500 0.226034
0.191406 0.226670
0.195312 0.227121
0.199219 0.230260
0.203125 0.233710
0.207031 0.235204
0.210938 0.235213
0.214844 0.239326
0.218750 0.239668
0.222656 0.239800
0.226562 0.241284
0.230469 0.248834
0.234375 0.253496
0.238281 0.269749
0.242188 0.274487
0.246094 0.274901
0.250000 0.275377
0.253906 0.286442
0.257812 0.286446
0.261719 0.289992
0.265625 0.293408
0.269531 0.311276
0.273438 0.312679
0.277344 0.314729
0.281250 0.323226
0.285156 0.342507
0.289062 0.343478
0.292969 0.343501
0.296875 0.346590
0.300781 0.346702
0.304688 0.347141
0.308594 0.348729
0.312500 0.349394
0.316406 0.349917
0.320312 0.350157
0.324219 0.350229
0.328125 0.352288
0.332031 0.352622
0.335938 0.353894
0.339844 0.356494
0.343750 0.360880
0.347656 0.361129
0.351562 0.361679
0.355469 0.364585
0.359375 0.394324
0.363281 0.394395
0.367188 0.394400
0.371094 0.397172
0.375000 0.401295
0.378906 0.402014
0.382812 0.402034
0.386719 0.402085
0.390625 0.404875
0.394531 0.404932
0.398438 0.405243
0.402344 0.406021
0.406250 0.408927
0.410156 0.416502
0.414062 0.430223
0.417969 0.431870
0.421875 0.437478
0.425781 0.440045
0.429688 0.445378
0.433594 0.449036
0.437500 0.449246
0.441406 0.449866
0.445312 0.451100
0.449219 0.451366
0.453125 0.451383
0.457031 0.451583
0.460938 0.451651
0.464844 0.453474
0.468750 0.457151
0.472656 0.484556
0.476562 0.484971
0.480469 0.491898
0.484375 0.491933
0.488281 0.493443
0.492188 0.500347
0.496094 0.500656
0.500000 0.504765
0.503906 0.505148
0.507812 0.508726
0.511719 0.510032
0.515625 0.517959
0.519531 0.531637
0.523438 0.531935
0.527344 0.532093
0.531250 0.534552
0.535156 0.534625
0.539062 0.535681
0.542969 0.535889
0.546875 0.536545
0.550781 0.541138
0.554688 0.564492
0.558594 0.566065
0.562500 0.571597
0.566406 0.574806
0.570312 0.576638
0.574219 0.581342
0.578125 0.588880
0.582031 0.589044
0.585938 0.593109
0.589844 0.595181
0.593750 0.600756
0.597656 0.616392
0.601562 0.616957
0.605469 0.616959
0.609375 0.618720
0.613281 0.636787
0.617188 0.638267
0.621094 0.638389
0.625000 0.639056
0.628906 0.642358
0.632812 0.643259
0.636719 0.651901
0.640625 0.651925
0.644531 0.661536
0.648438 0.664640
0.652344 0.675166
0.656250 0.681177
0.660156 0.681745
0.664062 0.681915
0.667969 0.682321
0.671875 0.687692
0.675781 0.700120
0.679688 0.713169
0.683594 0.714672
0.687500 0.716791
0.691406 0.720623
0.695312 0.720732
0.699219 0.721160
0.703125 0.722730
0.707031 0.723215
0.710938 0.724901
0.714844 0.732784
0.718750 0.734451
0.722656 0.748800
0.726562 0.751291
0.730469 0.753050
0.734375 0.753530
0.738281 0.754211
0.742188 0.754522
0.746094 0.775830
0.750000 0.778027
0.753906 0.783344
0.757812 0.783348
0.761719 0.783533
0.765625 0.783732
0.769531 0.783732
0.773438 0.789759
0.777344 0.813013
0.781250 0.819994
0.785156 0.820450
0.789062 0.827494
0.792969 0.830978
0.796875 0.836107
0.800781 0.845016
0.804688 0.846835
0.808594 0.862829
0.812500 0.863277
0.816406 0.864973
0.820312 0.876174
0.824219 0.877381
0.828125 0.878156
0.832031 0.879825
0.835938 0.880710
0.839844 0.885056
0.843750 0.887459
0.847656 0.889974
0.851562 0.890186
0.855469 0.905902
0.859375 0.906231
0.863281 0.906454
0.867188 0.907742
0.871094 0.909405
0.875000 0.912052
0.878906 0.914983
0.882812 0.916157
0.886719 0.924600
0.890625 0.929678
0.894531 0.939141
0.898438 0.945048
0.902344 0.951392
0.906250 0.956423
0.910156 0.958747
0.914062 0.960747
0.917969 0.971072
0.921875 0.971075
0.925781 0.973699
0.929688 0.992449
0.933594 0.992887
0.937500 0.999902
0.941406 1.010180
0.945312 1.011086
0.949219 1.011308
0.953125 1.017354
0.957031 1.017894
0.960938 1.021195
0.964844 1.027006
0.968750 1.031484
0.972656 1.031525
0.976562 1.036315
0.980469 1.048947
0.984375 1.052672
0.988281 1.052986
0.992188 1.056833
0.996094 1.061535
1.000000 1.062152
