t x
0.000000 -1.000761
1.000000 -1.726088
nan nan
0.000000 -0.999347
1.000000 -1.147356
nan nan
0.000000 -0.998425
1.000000 -0.811874
nan nan
0.000000 -0.997586
1.000000 -0.549440
nan nan
0.000000 -0.996655
1.000000 -0.318767
nan nan
0.000000 -0.995227
1.000000 -0.103771
nan nan
0.000000 0.995239
1.000000 0.104955
nan nan
0.000000 0.996649
1.000000 0.317489
nan nan
0.000000 0.997576
1.000000 0.546457
nan nan
0.000000 0.998421
1.000000 0.810482
nan nan
0.000000 0.999350
1.000000 1.148264
nan nan
0.000000 1.000784
1.000000 1.735788
