x y u v
-2.000000 -2.000000 0.130615 0.232835
-1.666667 -2.000000 0.086542 0.241925
-1.333333 -2.000000 0.038286 0.247853
-1.000000 -2.000000 -0.012155 0.249170
-0.666667 -2.000000 -0.061876 0.245509
-0.333333 -2.000000 -0.108289 0.237849
0.000000 -2.000000 0.000000 0.249318
0.333333 -2.000000 0.108289 0.237849
0.666667 -2.000000 0.061876 0.245509
1.000000 -2.000000 0.012155 0.249170
1.333333 -2.000000 -0.038286 0.247853
1.666667 -2.000000 -0.086542 0.241925
2.000000 -2.000000 -0.130615 0.232835
-2.000000 -1.666667 0.141685 0.201234
-1.666667 -1.666667 0.095434 0.212557
-1.333333 -1.666667 0.042750 0.220500
-1.000000 -1.666667 -0.013612 0.222335
-0.666667 -1.666667 -0.068738 0.217300
-0.333333 -1.666667 -0.118494 0.207365
0.000000 -1.666667 0.000000 0.222543
0.333333 -1.666667 0.118494 0.207365
0.666667 -1.666667 0.068738 0.217300
1.000000 -1.666667 0.013612 0.222335
1.333333 -1.666667 -0.042750 0.220500
1.666667 -1.666667 -0.095434 0.212557
2.000000 -1.666667 -0.141685 0.201234
-2.000000 -1.333333 0.154767 0.163739
-1.666667 -1.333333 0.107138 0.177752
-1.333333 -1.333333 0.049179 0.188950
-1.000000 -1.333333 -0.015760 0.191749
-0.666667 -1.333333 -0.078253 0.184273
-0.333333 -1.333333 -0.131245 0.171087
0.000000 -1.333333 0.000000 0.192072
0.333333 -1.333333 0.131245 0.171087
0.666667 -1.333333 0.078253 0.184273
1.000000 -1.333333 0.015760 0.191749
1.333333 -1.333333 -0.049179 0.188950
1.666667 -1.333333 -0.107138 0.177752
2.000000 -1.333333 -0.154767 0.163739
-2.000000 -1.000000 0.169189 0.117697
-1.666667 -1.000000 0.122578 0.133722
-1.333333 -1.000000 0.059447 0.150182
-1.000000 -1.000000 -0.019393 0.155145
-0.666667 -1.000000 -0.092192 0.142749
-0.333333 -1.000000 -0.146585 0.125644
0.000000 -1.000000 0.000000 0.155748
0.333333 -1.000000 0.146585 0.125644
0.666667 -1.000000 0.092192 0.142749
1.000000 -1.000000 0.019393 0.155145
1.333333 -1.000000 -0.059447 0.150182
1.666667 -1.000000 -0.122578 0.133722
2.000000 -1.000000 -0.169189 0.117697
