t x
1.000000 0.100000
0.998750 0.005596
0.997500 -0.043930
0.996250 -0.044304
0.995000 -0.346223
0.993750 -0.545819
0.992500 -0.761390
0.991250 -0.942817
0.990000 -0.976652
0.988750 -0.937329
0.987500 -0.869590
0.986250 -0.857158
0.985000 -0.703873
0.983750 -0.828240
0.982500 -0.837533
0.981250 -0.872047
0.980000 -0.772832
0.978750 -0.811865
0.977500 -0.783820
0.976250 -0.680249
0.975000 -0.956812
0.973750 -0.918987
0.972500 -0.929161
0.971250 -0.908187
0.970000 -0.930529
0.968750 -1.179729
0.967500 -1.297491
0.966250 -1.297032
0.965000 -1.284512
0.963750 -1.332913
0.962500 -1.261009
0.961250 -1.380272
0.960000 -1.467062
0.958750 -1.516576
0.957500 -1.608934
0.956250 -1.733740
0.955000 -1.721846
0.953750 -1.754381
0.952500 -1.617174
0.951250 -1.533368
0.950000 -1.268588
0.948750 -1.056366
0.947500 -1.150435
0.946250 -1.319935
0.945000 -1.478624
0.943750 -1.620891
0.942500 -1.815994
0.941250 -1.648227
0.940000 -1.769609
0.938750 -1.749591
0.937500 -1.984406
0.936250 -2.204039
0.935000 -2.154974
0.933750 -2.091589
0.932500 -2.100760
0.931250 -1.981867
0.930000 -2.045705
0.928750 -2.038757
0.927500 -1.953564
0.926250 -1.774327
0.925000 -1.759085
0.923750 -1.685852
0.922500 -1.618583
0.921250 -1.602514
0.920000 -1.697883
0.918750 -1.650467
0.917500 -1.518187
0.916250 -1.665151
0.915000 -1.519244
0.913750 -1.369317
0.912500 -1.341043
0.911250 -1.396611
0.910000 -1.375410
0.908750 -1.271017
0.907500 -1.350553
0.906250 -1.487359
0.905000 -1.440037
0.903750 -1.507208
0.902500 -1.353109
0.901250 -1.516766
0.900000 -1.599795
0.898750 -1.486287
0.897500 -1.654779
0.896250 -1.462859
0.895000 -1.301576
0.893750 -1.430847
0.892500 -1.455085
0.891250 -1.621684
0.890000 -1.735181
0.888750 -1.701590
0.887500 -1.734778
0.886250 -1.768027
0.885000 -1.858975
0.883750 -1.917039
0.882500 -2.167176
0.881250 -2.226921
0.880000 -2.365675
0.878750 -2.185364
0.877500 -2.437884
0.876250 -2.443669
0.875000 -2.640970
0.873750 -2.648567
0.872500 -2.855881
0.871250 -2.917225
0.870000 -2.742440
0.868750 -2.833684
0.867500 -2.915754
0.866250 -3.010336
0.865000 -3.257600
0.863750 -3.269444
0.862500 -3.424821
0.861250 -3.365128
0.860000 -3.347773
0.858750 -3.288022
0.857500 -3.158609
0.856250 -3.315092
0.855000 -3.443450
0.853750 -3.194372
0.852500 -3.226550
0.851250 -3.095874
0.850000 -3.029936
0.848750 -3.160442
0.847500 -3.413949
0.846250 -3.285997
0.845000 -3.247469
0.843750 -3.084376
0.842500 -2.882894
0.841250 -2.722737
0.840000 -2.698391
0.838750 -2.780989
0.837500 -2.668167
0.836250 -2.715871
0.835000 -2.704992
0.833750 -2.464314
0.832500 -2.201763
0.831250 -2.364512
0.830000 -2.433382
0.828750 -2.438624
0.827500 -2.478372
0.826250 -2.615324
0.825000 -2.195068
0.823750 -2.058483
0.822500 -1.757501
0.821250 -1.768714
0.820000 -1.925118
0.818750 -2.018935
0.817500 -1.972679
0.816250 -2.161863
0.815000 -2.248384
0.813750 -2.289724
0.812500 -1.963498
0.811250 -1.991923
0.810000 -1.928949
0.808750 -1.929905
0.807500 -1.772183
0.806250 -1.854028
0.805000 -1.800031
0.803750 -1.819505
0.802500 -2.067416
0.801250 -2.084610
0.800000 -2.336688
0.798750 -2.207547
0.797500 -2.028111
0.796250 -2.198639
0.795000 -2.269454
0.793750 -2.297412
0.792500 -2.162740
0.791250 -2.276431
0.790000 -2.539041
0.788750 -2.743927
0.787500 -2.721888
0.786250 -2.724458
0.785000 -2.620713
0.783750 -2.438703
0.782500 -2.476076
0.781250 -2.291471
0.780000 -2.088916
0.778750 -1.983933
0.777500 -1.936414
0.776250 -2.003647
0.775000 -2.079095
0.773750 -1.687757
0.772500 -1.578025
0.771250 -1.491688
0.770000 -1.564420
0.768750 -1.373087
0.767500 -1.455711
0.766250 -1.403893
0.765000 -1.387843
0.763750 -1.325501
0.762500 -1.405018
0.761250 -1.207456
0.760000 -1.041113
0.758750 -0.952077
0.757500 -0.785750
0.756250 -0.883486
0.755000 -0.918161
0.753750 -0.969332
0.752500 -0.874263
0.751250 -0.842091
0.750000 -0.873092
0.748750 -0.698632
0.747500 -0.562766
0.746250 -0.692416
0.745000 -0.899212
0.743750 -1.257283
0.742500 -1.315881
0.741250 -1.166982
0.740000 -1.175481
0.738750 -1.149929
0.737500 -1.255339
0.736250 -1.140114
0.735000 -1.131209
0.733750 -1.295064
0.732500 -1.267994
0.731250 -1.177979
0.730000 -1.384326
0.728750 -1.441630
0.727500 -1.544941
0.726250 -1.555349
0.725000 -1.387807
0.723750 -1.159032
0.722500 -1.205888
0.721250 -1.360799
0.720000 -1.209387
0.718750 -1.163594
0.717500 -1.255972
0.716250 -1.445777
0.715000 -1.532855
0.713750 -1.376223
0.712500 -1.074902
0.711250 -1.221616
0.710000 -1.133764
0.708750 -1.211545
0.707500 -1.303707
0.706250 -1.418779
0.705000 -1.515263
0.703750 -1.580590
0.702500 -1.755704
0.701250 -1.554715
0.700000 -1.362309
0.698750 -1.574604
0.697500 -1.508348
0.696250 -1.510296
0.695000 -1.621238
0.693750 -1.638362
0.692500 -1.614274
0.691250 -1.272628
0.690000 -1.324395
0.688750 -1.211208
0.687500 -1.195963
0.686250 -1.227734
0.685000 -1.291850
0.683750 -1.265649
0.682500 -1.270846
0.681250 -1.064718
0.680000 -0.875986
0.678750 -0.789556
0.677500 -0.685982
0.676250 -0.716924
0.675000 -0.537076
0.673750 -0.456604
0.672500 -0.528966
0.671250 -0.546030
0.670000 -0.675461
0.668750 -0.547735
0.667500 -0.492696
0.666250 -0.244885
0.665000 -0.182160
0.663750 -0.249105
0.662500 -0.570522
0.661250 -0.587184
0.660000 -0.685831
0.658750 -0.724434
0.657500 -0.772088
0.656250 -0.854235
0.655000 -0.951615
0.653750 -0.839214
0.652500 -0.728151
0.651250 -0.600892
0.650000 -0.386399
0.648750 -0.678526
0.647500 -0.560915
0.646250 -0.501989
0.645000 -0.559350
0.643750 -0.770860
0.642500 -0.522256
0.641250 -0.424927
0.640000 -0.679828
0.638750 -0.785572
0.637500 -0.691557
0.636250 -0.661054
0.635000 -0.622671
0.633750 -0.719413
0.632500 -0.537671
0.631250 -0.675026
0.630000 -0.750520
0.628750 -0.776487
0.627500 -0.506623
0.626250 -0.669080
0.625000 -0.701525
0.623750 -0.499415
0.622500 -0.303978
0.621250 -0.004340
0.620000 -0.141423
0.618750 -0.082198
0.617500 0.030995
0.616250 0.061519
0.615000 0.142629
0.613750 0.205347
0.612500 0.193141
0.611250 0.015855
0.610000 0.036081
0.608750 0.094100
0.607500 0.212451
0.606250 0.196615
0.605000 0.228050
0.603750 0.097950
0.602500 0.361382
0.601250 0.358756
0.600000 0.185925
0.598750 0.011912
0.597500 0.000912
0.596250 0.006682
0.595000 -0.221796
0.593750 -0.340714
