x v
0.00024414062 0.0098010901
0.0021972656 0.0864705
0.0041503906 0.15490966
0.0061035156 0.20832481
0.0080566406 0.24086649
0.010009766 0.24802676
0.011962891 0.22697913
0.013916016 0.17683888
0.015869141 0.098820486
0.017822266 -0.0037299428
0.019775391 -0.12544482
0.021728516 -0.25919812
0.023681641 -0.39652038
0.025634766 -0.52815146
0.027587891 -0.64470165
0.029541016 -0.73737775
0.031494141 -0.79871792
0.033447266 -0.82327164
0.035400391 -0.80815843
0.037353516 -0.75344403
0.039306641 -0.66228418
0.041259766 -0.54080481
0.043212891 -0.39771072
0.045166016 -0.24364159
0.047119141 -0.090320714
0.049072266 0.050434334
0.051025391 0.16775148
0.052978516 0.25269689
0.054931641 0.29912277
0.056884766 0.30428236
0.058837891 0.2691442
0.060791016 0.19836548
0.062744141 0.099917832
0.064697266 -0.015606177
0.066650391 -0.13594405
0.068603516 -0.24828254
0.070556641 -0.34043663
0.072509766 -0.40197245
0.074462891 -0.42516228
0.076416016 -0.40567657
0.078369141 -0.34294437
0.080322266 -0.24014783
0.082275391 -0.10385453
0.084228516 0.056670952
0.086181641 0.23040156
0.088134766 0.40562888
0.090087891 0.57107713
0.092041016 0.71693479
0.093994141 0.83569975
0.095947266 0.92275595
0.097900391 0.9766304
0.099853516 0.99891516
0.10180664 0.99387597
0.10375977 0.96780216
0.10571289 0.92817931
0.10766602 0.88278257
0.10961914 0.83879333
0.11157227 0.80203556
0.11352539 0.7764102
0.11547852 0.76358048
0.11743164 0.76293014
0.11938477 0.77178437
0.12133789 0.78585383
0.12329102 0.79983871
0.12524414 0.80811456
0.12719727 0.80541681
0.12915039 0.78744602
0.13110352 0.75132974
0.13305664 0.69589815
0.13500977 0.62175521
0.13696289 0.53115264
0.13891602 0.42769692
0.14086914 0.31593666
0.14282227 0.20088843
0.14477539 0.087560673
0.14672852 -0.019469905
0.14868164 -0.11638763
0.15063477 -0.20034746
0.15258789 -0.2695581
0.15454102 -0.32324917
0.15649414 -0.3615473
0.15844727 -0.38529485
0.16040039 -0.39584782
0.16235352 -0.39488655
0.16430664 -0.3842638
0.16625977 -0.36590385
0.16821289 -0.3417525
0.17016602 -0.3137665
0.17211914 -0.28392195
0.17407227 -0.25421757
0.17602539 -0.22664978
0.17797852 -0.20314368
0.17993164 -0.18543418
0.18188477 -0.17490483
0.18383789 -0.17240412
0.18579102 -0.17806955
0.18774414 -0.19119496
0.18969727 -0.21017632
0.19165039 -0.23256386
0.19360352 -0.25523553
0.19555664 -0.27468949
0.19750977 -0.28743353
0.19946289 -0.29043157
0.20141602 -0.28155237
0.20336914 -0.25995827
0.20532227 -0.22637216
0.20727539 -0.18317102
0.20922852 -0.13427262
0.21118164 -0.084807016
0.21313477 -0.04059352
0.21508789 -0.0074720182
0.21704102 0.0094378985
0.21899414 0.006460125
0.22094727 -0.018027925
0.22290039 -0.063187177
0.22485352 -0.12558025
0.22680664 -0.19934616
0.22875977 -0.27668907
0.23071289 -0.34864379
0.23266602 -0.40604287
0.23461914 -0.44057983
0.23657227 -0.44584394
0.23852539 -0.41819845
