x y z
0.007812 0.007812 0.007751
0.007812 0.023438 0.007629
0.007812 0.039062 0.007507
0.007812 0.054688 0.007385
0.007812 0.070312 0.007263
0.007812 0.085938 0.007141
0.007812 0.101562 0.007019
0.007812 0.117188 0.006897
0.007812 0.132812 0.006775
0.007812 0.148438 0.006653
0.007812 0.164062 0.006531
0.007812 0.179688 0.006409
0.007812 0.195312 0.006287
0.007812 0.210938 0.006165
0.007812 0.226562 0.006042
0.007812 0.242188 0.005920
0.007812 0.257812 0.005798
0.007812 0.273438 0.005676
0.007812 0.289062 0.005554
0.007812 0.304688 0.005432
0.007812 0.320312 0.005310
0.007812 0.335938 0.005188
0.007812 0.351562 0.005066
0.007812 0.367188 0.004944
0.007812 0.382812 0.004822
0.007812 0.398438 0.004700
0.007812 0.414062 0.004578
0.007812 0.429688 0.004456
0.007812 0.445312 0.004333
0.007812 0.460938 0.004211
0.007812 0.476562 0.004089
0.007812 0.492188 0.003967
0.007812 0.507812 0.003845
0.007812 0.523438 0.003723
0.007812 0.539062 0.003601
0.007812 0.554688 0.003479
0.007812 0.570312 0.003357
0.007812 0.585938 0.003235
0.007812 0.601562 0.003113
0.007812 0.617188 0.002991
0.007812 0.632812 0.002869
0.007812 0.648438 0.002747
0.007812 0.664062 0.002625
0.007812 0.679688 0.002502
0.007812 0.695312 0.002380
0.007812 0.710938 0.002258
0.007812 0.726562 0.002136
0.007812 0.742188 0.002014
0.007812 0.757812 0.001892
0.007812 0.773438 0.001770
0.007812 0.789062 0.001648
0.007812 0.804688 0.001526
0.007812 0.820312 0.001404
0.007812 0.835938 0.001282
0.007812 0.851562 0.001160
0.007812 0.867188 0.001038
0.007812 0.882812 0.000916
0.007812 0.898438 0.000793
0.007812 0.914062 0.000671
0.007812 0.929688 0.000549
0.007812 0.945312 0.000427
0.007812 0.960938 0.000305
0.007812 0.976562 0.000183
0.007812 0.992188 0.000061
0.023438 0.007812 0.007629
0.023438 0.023438 0.022888
0.023438 0.039062 0.022522
0.023438 0.054688 0.022156
0.023438 0.070312 0.021790
0.023438 0.085938 0.021423
0.023438 0.101562 0.021057
0.023438 0.117188 0.020691
0.023438 0.132812 0.020325
0.023438 0.148438 0.019958
0.023438 0.164062 0.019592
0.023438 0.179688 0.019226
0.023438 0.195312 0.018860
0.023438 0.210938 0.018494
0.023438 0.226562 0.018127
0.023438 0.242188 0.017761
0.023438 0.257812 0.017395
0.023438 0.273438 0.017029
0.023438 0.289062 0.016663
0.023438 0.304688 0.016296
0.023438 0.320312 0.015930
0.023438 0.335938 0.015564
0.023438 0.351562 0.015198
0.023438 0.367188 0.014832
0.023438 0.382812 0.014465
0.023438 0.398438 0.014099
0.023438 0.414062 0.013733
0.023438 0.429688 0.013367
0.023438 0.445312 0.013000
0.023438 0.460938 0.012634
0.023438 0.476562 0.012268
0.023438 0.492188 0.011902
0.023438 0.507812 0.011536
0.023438 0.523438 0.011169
0.023438 0.539062 0.010803
0.023438 0.554688 0.010437
0.023438 0.570312 0.010071
0.023438 0.585938 0.009705
0.023438 0.601562 0.009338
0.023438 0.617188 0.008972
0.023438 0.632812 0.008606
0.023438 0.648438 0.008240
0.023438 0.664062 0.007874
0.023438 0.679688 0.007507
0.023438 0.695312 0.007141
0.023438 0.710938 0.006775
0.023438 0.726562 0.006409
0.023438 0.742188 0.006042
0.023438 0.757812 0.005676
0.023438 0.773438 0.005310
0.023438 0.789062 0.004944
0.023438 0.804688 0.004578
0.023438 0.820312 0.004211
0.023438 0.835938 0.003845
0.023438 0.851562 0.003479
0.023438 0.867188 0.003113
0.023438 0.882812 0.002747
0.023438 0.898438 0.002380
0.023438 0.914062 0.002014
0.023438 0.929688 0.001648
0.023438 0.945312 0.001282
0.023438 0.960938 0.000916
0.023438 0.976562 0.000549
0.023438 0.992188 0.000183
0.039062 0.007812 0.007507
0.039062 0.023438 0.022522
0.039062 0.039062 0.037537
0.039062 0.054688 0.036926
0.039062 0.070312 0.036316
0.039062 0.085938 0.035706
0.039062 0.101562 0.035095
0.039062 0.117188 0.034485
0.039062 0.132812 0.033875
0.039062 0.148438 0.033264
0.039062 0.164062 0.032654
0.039062 0.179688 0.032043
0.039062 0.195312 0.031433
0.039062 0.210938 0.030823
0.039062 0.226562 0.030212
0.039062 0.242188 0.029602
0.039062 0.257812 0.028992
0.039062 0.273438 0.028381
0.039062 0.289062 0.027771
0.039062 0.304688 0.027161
0.039062 0.320312 0.026550
0.039062 0.335938 0.025940
0.039062 0.351562 0.025330
0.039062 0.367188 0.024719
0.039062 0.382812 0.024109
0.039062 0.398438 0.023499
0.039062 0.414062 0.022888
0.039062 0.429688 0.022278
0.039062 0.445312 0.021667
0.039062 0.460938 0.021057
0.039062 0.476562 0.020447
0.039062 0.492188 0.019836
0.039062 0.507812 0.019226
0.039062 0.523438 0.018616
0.039062 0.539062 0.018005
0.039062 0.554688 0.017395
0.039062 0.570312 0.016785
0.039062 0.585938 0.016174
0.039062 0.601562 0.015564
0.039062 0.617188 0.014954
0.039062 0.632812 0.014343
0.039062 0.648438 0.013733
0.039062 0.664062 0.013123
0.039062 0.679688 0.012512
0.039062 0.695312 0.011902
0.039062 0.710938 0.011292
0.039062 0.726562 0.010681
0.039062 0.742188 0.010071
0.039062 0.757812 0.009460
0.039062 0.773438 0.008850
0.039062 0.789062 0.008240
0.039062 0.804688 0.007629
0.039062 0.820312 0.007019
0.039062 0.835938 0.006409
0.039062 0.851562 0.005798
0.039062 0.867188 0.005188
0.039062 0.882812 0.004578
0.039062 0.898438 0.003967
0.039062 0.914062 0.003357
0.039062 0.929688 0.002747
0.039062 0.945312 0.002136
0.039062 0.960938 0.001526
0.039062 0.976562 0.000916
0.039062 0.992188 0.000305
0.054688 0.007812 0.007385
0.054688 0.023438 0.022156
0.054688 0.039062 0.036926
0.054688 0.054688 0.051697
0.054688 0.070312 0.050842
0.054688 0.085938 0.049988
0.054688 0.101562 0.049133
0.054688 0.117188 0.048279
0.054688 0.132812 0.047424
0.054688 0.148438 0.046570
0.054688 0.164062 0.045715
0.054688 0.179688 0.044861
0.054688 0.195312 0.044006
0.054688 0.210938 0.043152
0.054688 0.226562 0.042297
0.054688 0.242188 0.041443
0.054688 0.257812 0.040588
0.054688 0.273438 0.039734
0.054688 0.289062 0.038879
0.054688 0.304688 0.038025
0.054688 0.320312 0.037170
0.054688 0.335938 0.036316
0.054688 0.351562 0.035461
0.054688 0.367188 0.034607
0.054688 0.382812 0.033752
0.054688 0.398438 0.032898
0.054688 0.414062 0.032043
0.054688 0.429688 0.031189
0.054688 0.445312 0.030334
0.054688 0.460938 0.029480
0.054688 0.476562 0.028625
0.054688 0.492188 0.027771
0.054688 0.507812 0.026917
0.054688 0.523438 0.026062
