x v
0.00024414062 0.0008532968
0.0021972656 0.0076665391
0.0041503906 0.014418122
0.0061035156 0.02105926
0.0080566406 0.027551908
0.010009766 0.033872941
0.011962891 0.040017374
0.013916016 0.046000379
0.015869141 0.051857909
0.017822266 0.057645827
0.019775391 0.063437506
0.021728516 0.069319987
0.023681641 0.075388885
0.025634766 0.081742335
0.027587891 0.088474374
0.029541016 0.09566824
0.031494141 0.10339009
0.033447266 0.11168369
0.035400391 0.12056651
0.037353516 0.1300277
0.039306641 0.14002814
0.041259766 0.15050266
0.043212891 0.16136449
0.045166016 0.17251143
0.047119141 0.18383345
0.049072266 0.19522107
0.051025391 0.20657377
0.052978516 0.21780778
0.054931641 0.22886242
0.056884766 0.23970449
0.058837891 0.25033023
0.060791016 0.26076462
0.062744141 0.27105806
0.064697266 0.28128068
0.066650391 0.29151478
0.068603516 0.3018461
0.070556641 0.31235466
0.072509766 0.32310606
0.074462891 0.33414409
0.076416016 0.34548516
0.078369141 0.35711524
0.080322266 0.36898944
0.082275391 0.38103428
0.084228516 0.39315237
0.086181641 0.405229
0.088134766 0.41714002
0.090087891 0.42876018
0.092041016 0.43997117
0.093994141 0.45066862
0.095947266 0.46076748
0.097900391 0.47020528
0.099853516 0.47894322
0.10180664 0.48696505
0.10375977 0.49427405
0.10571289 0.50088851
0.10766602 0.50683646
0.10961914 0.51215012
0.11157227 0.51686076
0.11352539 0.52099456
0.11547852 0.52456984
0.11743164 0.52759586
0.11938477 0.53007323
0.12133789 0.53199584
0.12329102 0.53335387
0.12524414 0.5341376
0.12719727 0.53434138
0.12915039 0.53396738
0.13110352 0.53302869
0.13305664 0.53155132
0.13500977 0.52957504
0.13696289 0.52715302
0.13891602 0.52435012
0.14086914 0.52124042
0.14282227 0.51790393
0.14477539 0.51442302
0.14672852 0.51087884
0.14868164 0.50734808
0.15063477 0.50390021
0.15258789 0.50059544
0.15454102 0.49748346
0.15649414 0.49460284
0.15844727 0.49198115
0.16040039 0.48963552
0.16235352 0.48757363
0.16430664 0.4857949
0.16625977 0.48429179
0.16821289 0.48305124
0.17016602 0.48205599
0.17211914 0.48128606
0.17407227 0.48072011
0.17602539 0.48033692
0.17797852 0.48011679
0.17993164 0.48004293
0.18188477 0.48010269
0.18383789 0.48028856
0.18579102 0.48059876
0.18774414 0.4810373
0.18969727 0.48161354
0.19165039 0.48234096
0.19360352 0.48323548
0.19555664 0.48431319
0.19750977 0.48558786
0.19946289 0.48706849
0.20141602 0.48875709
0.20336914 0.49064726
0.20532227 0.4927235
0.20727539 0.49496184
0.20922852 0.49733144
0.21118164 0.49979747
0.21313477 0.50232473
0.21508789 0.50488178
0.21704102 0.50744511
0.21899414 0.51000277
0.22094727 0.51255702
0.22290039 0.51512538
0.22485352 0.51774011
0.22680664 0.52044571
0.22875977 0.52329473
0.23071289 0.52634222
0.23266602 0.52963938
0.23461914 0.53322695
0.23657227 0.5371294
0.23852539 0.54135029
0.24047852 0.54586976
0.24243164 0.55064429
0.24438477 0.55560919
