k poi heat adv
1 1 0.98045433 1
2 0.25 0.92407981 1
3 0.11111111 0.83723299 1
4 0.0625 0.72918534 1
5 0.04 0.61049803 1
6 0.027777778 0.49134364 1
7 0.020408163 0.38013789 1
8 0.015625 0.28271686 1
9 0.012345679 0.20212359 1
10 0.01 0.13891113 1
11 0.0082644628 0.091772346 1
12 0.0069444444 0.058282927 1
13 0.0059171598 0.035581612 1
14 0.0051020408 0.020881641 1
15 0.0044444444 0.011780355 1
16 0.00390625 0.0063886171 1
17 0.0034602076 0.003330505 1
18 0.0030864198 0.001669045 1
19 0.0027700831 0.00080404576 1
20 0.0025 0.00037234731 1
21 0.0022675737 0.00016575644 1
22 0.0020661157 7.0932839e-05 1
23 0.0018903592 2.9179579e-05 1
24 0.0017361111 1.1538927e-05 1
25 0.0016 4.3863834e-06 1
26 0.0014792899 1.6028854e-06 1
27 0.0013717421 5.6305799e-07 1
28 0.0012755102 1.9013344e-07 1
29 0.0011890606 6.1718964e-08 1
30 0.0011111111 1.9258989e-08 1
31 0.0010405827 5.7770096e-09 1
32 0.0009765625 1.6658175e-09 1
33 0.00091827365 4.6174959e-10 1
34 0.0008650519 1.2303831e-10 1
35 0.00081632653 3.1515842e-11 1
36 0.00077160494 7.7601876e-12 1
37 0.00073046019 1.8368355e-12 1
38 0.00069252078 4.1794878e-13 1
39 0.0006574622 9.1417763e-14 1
40 0.000625 1.9221747e-14 1
41 0.000594884 3.8851687e-15 1
42 0.00056689342 7.5488645e-16 1
43 0.00054083288 1.4099643e-16 1
44 0.00051652893 2.5315666e-17 1
45 0.00049382716 4.3694356e-18 1
46 0.00047258979 7.2496337e-19 1
47 0.00045269353 1.156276e-19 1
48 0.00043402778 1.7728081e-20 1
49 0.00041649313 2.6128632e-21 1
50 0.0004 3.7019142e-22 1
51 0.00038446751 5.0418599e-23 1
52 0.00036982249 6.6010032e-24 1
53 0.00035599858 8.3077582e-25 1
54 0.00034293553 1.0051075e-25 1
55 0.00033057851 1.1689499e-26 1
56 0.00031887755 1.3068749e-27 1
57 0.00030778701 1.4045166e-28 1
58 0.00029726516 1.4510237e-29 1
59 0.00028727377 1.4410427e-30 1
60 0.00027777778 1.3757323e-31 1
61 0.00026874496 1.2625418e-32 1
62 0.00026014568 1.1138132e-33 1
63 0.00025195263 9.4456897e-35 1
64 0.00024414062 7.700337e-36 1
65 0.00023668639 6.0344894e-37 1
66 0.00022956841 4.5459648e-38 1
67 0.00022276676 3.2920495e-39 1
68 0.00021626298 2.2917191e-40 1
69 0.00021003991 1.5335966e-41 1
70 0.00020408163 9.8654215e-43 1
71 0.00019837334 6.1006329e-44 1
72 0.00019290123 3.62651e-45 1
73 0.00018765247 2.0723238e-46 1
74 0.00018261505 1.1383638e-47 1
75 0.00017777778 6.0111738e-49 1
76 0.00017313019 3.0513515e-50 1
77 0.00016866251 1.4889494e-51 1
78 0.00016436555 6.9842916e-53 1
79 0.00016023073 3.1493399e-54 1
80 0.00015625 1.365122e-55 1
81 0.00015241579 5.6882426e-57 1
82 0.000148721 2.27845e-58 1
83 0.00014515895 8.7731519e-60 1
84 0.00014172336 3.2473308e-61 1
85 0.0001384083 1.1554526e-62 1
86 0.00013520822 3.9521418e-64 1
87 0.00013211785 1.2994741e-65 1
88 0.00012913223 4.1073098e-67 1
89 0.00012624669 1.247964e-68 1
90 0.00012345679 3.6450322e-70 1
91 0.00012075836 1.0234236e-71 1
92 0.00011814745 2.7622581e-73 1
93 0.0001156203 7.1668415e-75 1
94 0.00011317338 1.7875002e-76 1
95 0.00011080332 4.2856739e-78 1
96 0.00010850694 9.8774968e-80 1
97 0.00010628122 2.1884136e-81 1
98 0.00010412328 4.6608665e-83 1
99 0.00010203041 9.542423e-85 1
100 0.0001 1.8780424e-86 1
101 9.8029605e-05 3.5530955e-88 1
102 9.6116878e-05 6.4619426e-90 1
103 9.4259591e-05 1.1297284e-91 1
104 9.2455621e-05 1.8986275e-93 1
105 9.0702948e-05 3.0673279e-95 1
106 8.8999644e-05 4.7636011e-97 1
107 8.7343873e-05 7.1115671e-99 1
108 8.5733882e-05 1.0205869e-100 1
109 8.4167999e-05 1.407957e-102 1
110 8.2644628e-05 1.8671686e-104 1
111 8.1162243e-05 2.380304e-106 1
112 7.9719388e-05 2.9169975e-108 1
113 7.8314668e-05 3.4363265e-110 1
114 7.6946753e-05 3.8914149e-112 1
115 7.5614367e-05 4.2361896e-114 1
116 7.431629e-05 4.4330026e-116 1
117 7.3051355e-05 4.4593886e-118 1
118 7.1818443e-05 4.3122844e-120 1
119 7.0616482e-05 4.0086138e-122 1
120 6.9444444e-05 3.5820841e-124 1
121 6.8301346e-05 3.0770325e-126 1
122 6.718624e-05 2.5408739e-128 1
123 6.6098222e-05 2.0169211e-130 1
124 6.503642e-05 1.5390383e-132 1
125 6.4e-05 1.128924e-134 1
126 6.2988158e-05 7.9603964e-137 1
127 6.2000124e-05 5.3958447e-139 1
128 6.1035156e-05 3.5159195e-141 1
