n heat adv
0 1e-16 1e-16
1 0.00065823181 0.029145077
2 0.00086455419 0.057446023
3 0.0010244579 0.08411277
4 0.0011587455 0.10846072
5 0.0012781252 0.12995689
6 0.0013888341 0.14825805
7 0.0014940366 0.16323821
8 0.0015951668 0.175002
9 0.0016927679 0.18388031
10 0.0017869582 0.1904033
11 0.0018776855 0.19524654
12 0.001964863 0.19914875
13 0.002048436 0.20280731
14 0.0021284081 0.20677001
15 0.002204845 0.21135169
16 0.0022778661 0.21660361
17 0.0023476318 0.2223457
18 0.0024143305 0.22824797
19 0.0024781658 0.23393192
20 0.0025393467 0.23906321
21 0.0025980794 0.24341741
22 0.0026545618 0.24691215
23 0.0027089791 0.24960656
24 0.0027615015 0.25167264
25 0.0028122827 0.25334592
26 0.0028614593 0.25486576
27 0.002909151 0.25641786
28 0.0029554614 0.25809281
29 0.0030004785 0.25987101
30 0.0030442765 0.2616374
31 0.0030869165 0.26322108
32 0.0031284479 0.26444839
33 0.0031689103 0.26519602
34 0.003208334 0.26543243
35 0.0032467419 0.26523925
36 0.0032841502 0.26480864
37 0.0033205698 0.26441596
38 0.0033560073 0.26437177
39 0.0033904654 0.26496191
40 0.0034239446 0.26638906
41 0.0034564427 0.26873131
42 0.0034879567 0.27192939
43 0.0035184823 0.27580574
44 0.003548015 0.28010831
45 0.00357655 0.28456527
46 0.003604083 0.28893596
47 0.00363061 0.29304735
48 0.0036561281 0.29681018
49 0.0036806349 0.30021484
50 0.0037041293 0.30331001
51 0.0037266113 0.30617078
52 0.003748082 0.3088641
53 0.0037685438 0.31142029
54 0.0037880003 0.3138174
55 0.0038064565 0.3159823
56 0.0038239184 0.31780772
57 0.0038403934 0.31918058
58 0.00385589 0.32001442
59 0.0038704177 0.32027809
60 0.0038839873 0.32001402
61 0.0038966105 0.3193416
62 0.0039082998 0.31844387
63 0.0039190688 0.31753922
64 0.0039289319 0.31684307
65 0.0039379041 0.31652771
66 0.0039460013 0.31669028
67 0.0039532398 0.31733745
68 0.0039596366 0.31839172
69 0.0039652093 0.31971772
70 0.0039699758 0.32116174
71 0.0039739544 0.32259426
72 0.0039771639 0.323945
73 0.0039796232 0.3252225
74 0.0039813516 0.32651358
75 0.0039823684 0.32796231
76 0.0039826933 0.32973233
77 0.0039823459 0.33196085
78 0.0039813461 0.33471547
79 0.0039797136 0.33796525
80 0.0039774683 0.34157452
81 0.0039746299 0.3453215
82 0.0039712182 0.34893723
83 0.0039672528 0.35215561
84 0.0039627534 0.35476354
85 0.0039577394 0.35664163
86 0.00395223 0.35778824
87 0.0039462444 0.3583226
88 0.0039398015 0.35846575
89 0.00393292 0.3585011
90 0.0039256186 0.35872019
91 0.0039179155 0.3593635
92 0.0039098287 0.36056903
93 0.0039013762 0.36234117
94 0.0038925754 0.36454844
95 0.0038834437 0.36695064
96 0.0038739982 0.36924837
97 0.0038642554 0.37114302
98 0.0038542321 0.37239433
99 0.0038439443 0.37286527
100 0.0038334079 0.37254753
101 0.0038226385 0.37156434
102 0.0038116515 0.37015063
103 0.0038004619 0.368613
104 0.0037890843 0.36727568
105 0.0037775332 0.36642172
106 0.0037658227 0.36624149
107 0.0037539667 0.3668003
108 0.0037419786 0.36803301
109 0.0037298716 0.36976658
110 0.0037176587 0.37176364
111 0.0037053525 0.37377538
112 0.0036929653 0.37559141
113 0.0036805091 0.37707636
114 0.0036679958 0.37818757
115 0.0036554367 0.37897207
116 0.003642843 0.37954506
117 0.0036302256 0.38005487
118 0.0036175952 0.38064213
119 0.003604962 0.38140178
120 0.003592336 0.38235656
121 0.0035797272 0.38344784
122 0.0035671448 0.3845455
123 0.0035545983 0.38547382
124 0.0035420966 0.38604693
125 0.0035296484 0.3861057
126 0.0035172621 0.38554889
127 0.0035049459 0.38435287
128 0.0034927078 0.38257746
129 0.0034805556 0.3803572
130 0.0034684965 0.37788013
131 0.0034565379 0.37535797
132 0.0034446867 0.37299301
133 0.0034329496 0.37094815
134 0.0034213332 0.36932563
135 0.0034098436 0.36815871
136 0.003398487 0.36741685
137 0.0033872692 0.36702227
138 0.0033761957 0.36687277
139 0.0033652719 0.3668651
140 0.0033545029 0.36691387
141 0.0033438938 0.36696288
142 0.0033334492 0.36698828
143 0.0033231737 0.36699484
144 0.0033130715 0.3670081
145 0.0033031469 0.36706558
146 0.0032934037 0.36720975
147 0.0032838456 0.36748437
148 0.0032744762 0.36793407
149 0.0032652988 0.36860575
150 0.0032563166 0.36954943
151 0.0032475326 0.37081594
152 0.0032389495 0.37245017
153 0.00323057 0.37447973
154 0.0032223964 0.37690128
155 0.0032144312 0.37966795
156 0.0032066763 0.38268198
157 0.0031991336 0.38579602
158 0.0031918051 0.38882464
159 0.0031846922 0.39156515
160 0.0031777965 0.3938248
161 0.0031711192 0.39544966
162 0.0031646615 0.39635031
163 0.0031584243 0.3965195
164 0.0031524086 0.39603811
165 0.0031466151 0.39506696
166 0.0031410443 0.39382444
167 0.0031356966 0.39255198
168 0.0031305725 0.39147288
169 0.0031256721 0.390752
170 0.0031209954 0.39046566
171 0.0031165424 0.39058922
172 0.0031123129 0.39100643
173 0.0031083066 0.39153894
174 0.0031045232 0.39198959
175 0.003100962 0.39218981
176 0.0030976226 0.39204149
177 0.0030945041 0.39154493
178 0.0030916058 0.3908071
179 0.0030889267 0.39002796
180 0.0030864659 0.38946567
181 0.0030842222 0.3893861
182 0.0030821945 0.39000605
183 0.0030803816 0.39144275
184 0.0030787821 0.39368243
185 0.0030773945 0.39657646
186 0.0030762175 0.39986631
187 0.0030752495 0.403231
188 0.0030744888 0.4063453
189 0.0030739339 0.40893637
190 0.0030735829 0.41082832
191 0.0030734341 0.41196777
192 0.0030734857 0.4124273
193 0.0030737357 0.4123868
194 0.0030741822 0.41209555
195 0.0030748234 0.41182153
196 0.003075657 0.41179687
197 0.0030766812 0.41217064
198 0.0030778938 0.41297959
199 0.0030792926 0.41414364
200 0.0030808756 0.41548684
201 0.0030826406 0.4167781
202 0.0030845853 0.41778162
203 0.0030867076 0.41830572
204 0.0030890052 0.41824051
205 0.0030914759 0.41757816
206 0.0030941173 0.41641295
207 0.0030969273 0.41492189
208 0.0030999035 0.41332994
209 0.0031030436 0.41186639
210 0.0031063453 0.41072146
211 0.0031098063 0.41001275
212 0.0031134243 0.409769
213 0.0031171969 0.40993508
214 0.003121122 0.41039618
215 0.0031251971 0.4110145
216 0.0031294199 0.4116689
217 0.0031337882 0.41228802
218 0.0031382997 0.41286958
219 0.0031429521 0.41348187
220 0.0031477431 0.41424755
221 0.0031526705 0.41531336
222 0.0031577321 0.41681268
223 0.0031629255 0.41882973
224 0.0031682486 0.42137412
225 0.0031736992 0.42437191
226 0.0031792751 0.42767531
227 0.0031849742 0.43108778
228 0.0031907942 0.43439814
229 0.0031967331 0.43741555
230 0.0032027889 0.43999788
231 0.0032089593 0.44206851
232 0.0032152423 0.44361937
233 0.003221636 0.44470071
234 0.0032281382 0.44540112
235 0.003234747 0.44582251
236 0.0032414605 0.44605615
237 0.0032482767 0.44616524
238 0.0032551936 0.44617784
239 0.0032622094 0.44609146
240 0.0032693222 0.44588736
241 0.0032765301 0.44555016
242 0.0032838315 0.44508694
243 0.0032912244 0.44454014
244 0.003298707 0.44399012
245 0.0033062778 0.44354562
246 0.0033139349 0.44332369
247 0.0033216767 0.44342345
248 0.0033295014 0.44390026
249 0.0033374076 0.44474752
250 0.0033453935 0.44589183
251 0.0033534576 0.44720376
252 0.0033615984 0.44852274
253 0.0033698142 0.44969072
254 0.0033781037 0.45058711
255 0.0033864653 0.45115744
256 0.0033948976 0.45142922
257 0.0034033991 0.45151093
258 0.0034119685 0.45157328
259 0.0034206044 0.45181521
260 0.0034293054 0.45242079
261 0.0034380702 0.45351615
262 0.0034468976 0.45513649
263 0.0034557862 0.45721175
