r poi heat adv
1 1 1 1
2 0.25000941 0.98045433 1
3 0.11112227 0.98045433 1
4 0.062511767 0.92407981 1
5 0.04001205 0.92407981 1
6 0.027789982 0.83723299 1
7 0.020420461 0.83723299 1
8 0.01563736 0.72918534 1
9 0.012358081 0.72918534 1
10 0.010012434 0.61049803 1
11 0.0082769202 0.61049803 1
12 0.0069569206 0.49134364 1
13 0.0059296512 0.49134364 1
14 0.005114545 0.38013789 1
15 0.0044569597 0.38013789 1
16 0.0039187749 0.28271686 1
17 0.0034727412 0.28271686 1
18 0.0030989614 0.20212359 1
19 0.0027826322 0.20212359 1
20 0.0025125562 0.13891113 1
21 0.0022801367 0.13891113 1
22 0.0020786853 0.091772346 1
23 0.0019029353 0.091772346 1
24 0.0017486936 0.058282927 1
25 0.0016125889 0.058282927 1
26 0.0014918852 0.035581612 1
27 0.0013843438 0.035581612 1
28 0.0012881183 0.020881641 1
29 0.0012016753 0.020881641 1
30 0.0011237324 0.011780355 1
31 0.0010532107 0.011780355 1
32 0.0009891973 0.0063886171 1
33 0.0009309154 0.0063886171 1
34 0.00087770074 0.003330505 1
35 0.00082898259 0.003330505 1
36 0.00078426837 0.001669045 1
37 0.00074313115 0.001669045 1
38 0.00070519942 0.00080404576 1
39 0.00067014869 0.00080404576 1
40 0.0006376945 0.00037234731 1
41 0.00060758669 0.00037234731 1
42 0.00057960447 0.00016575644 1
43 0.00055355247 0.00016575644 1
44 0.00052925722 7.0932839e-05 1
45 0.00050656436 7.0932839e-05 1
46 0.00048533607 2.9179579e-05 1
47 0.00046544907 2.9179579e-05 1
48 0.00044679278 1.1538927e-05 1
49 0.00042926778 1.1538927e-05 1
50 0.0004127845 4.3863834e-06 1
51 0.00039726204 4.3863834e-06 1
52 0.00038262725 1.6028854e-06 1
53 0.00036881377 1.6028854e-06 1
54 0.00035576135 5.6305799e-07 1
55 0.00034341517 5.6305799e-07 1
56 0.00033172524 1.9013344e-07 1
57 0.00032064593 1.9013344e-07 1
58 0.00031013552 6.1718964e-08 1
59 0.00030015578 6.1718964e-08 1
60 0.00029067164 1.9258989e-08 1
61 0.00028165088 1.9258989e-08 1
62 0.00027306388 5.7770096e-09 1
63 0.00026488331 5.7770096e-09 1
64 0.000257084 1.6658175e-09 1
65 0.00024964268 1.6658175e-09 1
66 0.00024253782 4.6174959e-10 1
67 0.00023574952 4.6174959e-10 1
68 0.00022925929 1.2303831e-10 1
69 0.00022305 1.2303831e-10 1
70 0.00021710572 3.1515842e-11 1
71 0.00021141165 3.1515842e-11 1
72 0.00020595399 7.7601876e-12 1
73 0.00020071989 7.7601876e-12 1
74 0.00019569736 1.8368355e-12 1
75 0.00019087521 1.8368355e-12 1
76 0.00018624297 4.1794878e-13 1
77 0.00018179085 4.1794878e-13 1
78 0.0001775097 9.1417763e-14 1
79 0.00017339092 9.1417763e-14 1
80 0.00016942646 1.9221747e-14 1
