K poi heat adv
1 0.13056572 0.51728982 0.62384547
2 0.041094689 0.32393954 0.48629102
3 0.018450366 0.21353321 0.410622
4 0.010021844 0.14239688 0.36115699
5 0.0061260415 0.094436047 0.32557902
6 0.0040571294 0.061715349 0.2983866
7 0.0028469878 0.039520501 0.27671089
8 0.0020870249 0.024705006 0.25889168
9 0.0015830585 0.015035159 0.24389332
10 0.0012341482 0.0088902592 0.231032
11 0.00098400742 0.0050994746 0.21983565
12 0.0007994259 0.0028340156 0.20996649
13 0.00065987679 0.0015244332 0.20117561
14 0.00055216948 0.00079302078 0.19327497
15 0.00046754279 0.00039868601 0.18611952
16 0.00040000965 0.0001935953 0.1795953
17 0.0003453763 9.0752928e-05 0.1736114
18 0.00030064066 4.105288e-05 0.16809426
19 0.00026361206 1.791364e-05 0.16298364
20 0.00023266432 7.5377565e-06 0.15822966
21 0.00020657162 3.057712e-06 0.15379061
22 0.00018439709 1.1954738e-06 0.14963133
23 0.00016541561 4.5037859e-07 0.1457219
24 0.00014905955 1.6346527e-07 0.14203671
25 0.00013487985 5.7148951e-08 0.13855367
26 0.00012251788 1.9242386e-08 0.13525363
27 0.00011168464 6.2390318e-09 0.13211987
28 0.00010214536 1.9477303e-09 0.12913775
29 9.3707856e-05 5.8538921e-10 0.12629433
30 8.6213716e-05 1.6936376e-10 0.12357821
31 7.9531485e-05 4.7164558e-11 0.12097921
32 7.3551419e-05 1.2641362e-11 0.11848826
33 6.8181365e-05 3.2607778e-12 0.11609725
34 6.334353e-05 8.0940744e-13 0.11379887
35 5.8971903e-05 1.9333198e-13 0.11158654
36 5.501021e-05 4.4432931e-14 0.10945431
37 5.1410255e-05 9.8253319e-15 0.10739679
38 4.8130588e-05 2.0903002e-15 0.10540904
39 4.5135418e-05 4.2782785e-16 0.1034866
40 4.2393717e-05 1e-16 0.10162537
41 3.9878496e-05 1e-16 0.099821598
42 3.756619e-05 1e-16 0.098071828
43 3.5436164e-05 1e-16 0.096372888
44 3.3470286e-05 1e-16 0.094721851
45 3.1652578e-05 1e-16 0.093116009
46 2.9968922e-05 1e-16 0.091552855
47 2.8406807e-05 1e-16 0.090030064
48 2.6955117e-05 1e-16 0.088545474
49 2.5603952e-05 1e-16 0.087097072
50 2.4344473e-05 1e-16 0.085682981
51 2.3168772e-05 1e-16 0.084301447
52 2.2069756e-05 1e-16 0.08295083
53 2.104105e-05 1e-16 0.081629592
54 2.0076914e-05 1e-16 0.08033629
55 1.9172168e-05 1e-16 0.079069568
56 1.8322128e-05 1e-16 0.077828149
57 1.7522554e-05 1e-16 0.07661083
58 1.6769597e-05 1e-16 0.075416475
59 1.6059761e-05 1e-16 0.07424401
60 1.5389862e-05 1e-16 0.073092419
61 1.4756996e-05 1e-16 0.071960738
62 1.4158513e-05 1e-16 0.070848052
63 1.3591989e-05 1e-16 0.069753491
64 1.3055203e-05 1e-16 0.068676228
65 1.2546118e-05 1e-16 0.067615474
66 1.2062865e-05 1e-16 0.066570474
67 1.1603721e-05 1e-16 0.065540509
68 1.1167105e-05 1e-16 0.064524889
69 1.0751554e-05 1e-16 0.063522952
70 1.0355721e-05 1e-16 0.062534062
